t,EGFR_Obs,Akt_Obs,Compound_1_Obs
0,41346629.8566803,0.0239248842970783,43789412.1677823
95,NaN,NaN,30112111.0475547
100,29472823.1203918,NaN,NaN
200,14680681.075701,NaN,22485508.1422274
300,11362956.2741473,NaN,11240515.3372621
400,NaN,0.0254055158912084,12075988.416108
450,9722459.69061586,NaN,NaN
500,NaN,NaN,11433726.7638967
600,2254900.95695375,NaN,NaN
650,NaN,NaN,2620511.15512604
750,6547584.71424727,NaN,NaN
800,NaN,NaN,1145856.65722097
850,NaN,0.0471117556355842,NaN
900,6140062.67864446,NaN,NaN
1000,2179993.32877862,NaN,-2175752.55465111
1500,1691706.55812352,0.0399290863296417,-2449269.49623578
2000,NaN,0.0239588363657153,-2457655.70718335
2500,NaN,0.0346124197568754,NaN
3000,NaN,0.0306399403596173,NaN
4000,NaN,0.0415902811114303,NaN
4500,NaN,0.0162830496800969,NaN
6000,NaN,0.0429817657954167,NaN
