t,EGFR_Obs,Akt_Obs,Compound_1_Obs
0,40295749.6910194,0.0355322007042569,40774801.0741169
50,29272418.0296995,NaN,28737827.5050524
100,15009261.6869938,NaN,13296797.9422664
150,8172884.43033979,NaN,12564505.1518544
250,2184162.23376141,NaN,10484237.3879792
300,885817.112327572,NaN,-6157066.59671988
400,4548940.60066883,0.0140817119095633,3210437.1466838
500,7326375.15552202,NaN,3519702.70114367
800,NaN,0.0373044820649112,NaN
1000,NaN,0.0281962886437893,NaN
1500,NaN,0.0339074251326826,NaN
2000,NaN,0.0335422633829615,NaN
3000,NaN,0.0439681843704887,NaN
3500,NaN,0.0314056533774139,NaN
4500,NaN,0.0205817297240982,NaN
5500,NaN,0.0307451500737731,NaN
