t,RAF_Obs,pRAF_Obs,pMEK_Obs,ERK_Obs,pERK_Obs
0,0.407431366224842,5.42077631819106e-06,0.000312766833561317,0.680490293009501,0.0377156059390825
0.3,1.43580471901428,NaN,NaN,NaN,NaN
0.6,0.640673446419048,NaN,NaN,NaN,NaN
0.9,0.40211469603758,NaN,NaN,NaN,NaN
1,1.51684920763267,NaN,NaN,NaN,NaN
1.5,0.865694939275004,NaN,NaN,NaN,NaN
2,0.788410079620922,8.90244850889725e-05,0.00948694406993219,NaN,NaN
2.5,0.871095374249349,NaN,NaN,NaN,NaN
3,1.43349576077894,NaN,NaN,1.2137253724531,NaN
4,0.81684642745019,0.000118695985525718,0.00211691623517145,NaN,0.00248865990320276
4.5,0.759388129147295,NaN,NaN,NaN,NaN
6.5,NaN,0.00014674395132929,0.0030211144114282,0.813696210322782,NaN
9,NaN,8.6107303706078e-05,0.00136008647516145,NaN,0.00372350950149616
10,NaN,0.000105805565402537,0.00267702238100781,1.76564587578604,NaN
15,NaN,2.62688569196067e-05,0.00240821134947277,0.806361403582006,0.00509917091825382
20,NaN,1.4581952523731e-05,0.00132091356792384,NaN,0.00700939149123093
25,NaN,1.06765271192426e-05,0.0010841291809076,NaN,NaN
