t,RAF_Obs,pRAF_Obs,pMEK_Obs,ERK_Obs,pERK_Obs
0,0.564179406849317,2.94169893911777e-06,0.000514193372939755,0.46832622017817,0.0245270870148896
0.3,1.54666311807157,NaN,NaN,NaN,NaN
0.55,1.40210275933764,NaN,NaN,NaN,NaN
0.9,1.40962509801499,NaN,NaN,NaN,NaN
1,0.82314819534609,NaN,NaN,NaN,NaN
1.5,2.11348262100477,NaN,NaN,NaN,NaN
2,1.368403456798,2.74012458539913e-05,0.00283698875166192,0.242179923896792,NaN
2.5,0.726275789242396,NaN,NaN,NaN,NaN
3,1.3401789866463,NaN,NaN,NaN,0.224854034792378
3.5,1.77811743719194,NaN,NaN,0.354860464196662,NaN
4,NaN,NaN,0.00121986520786169,NaN,NaN
4.5,0.749153398682792,3.36917375589343e-05,NaN,NaN,NaN
5,1.02319741963694,NaN,NaN,NaN,NaN
5.5,NaN,NaN,NaN,0.589743618233928,NaN
6,NaN,NaN,NaN,NaN,0.0517034735839629
6.5,NaN,3.54026770466345e-05,0.000441255410530221,NaN,NaN
7.5,NaN,NaN,NaN,0.884399853769903,NaN
9,NaN,NaN,0.000308003539282329,NaN,NaN
9.5,NaN,8.4667169557388e-06,NaN,NaN,NaN
10,NaN,1.74074581113238e-05,0.000344599535562531,1.25409812125905,0.0350157594445508
15,NaN,4.96300424914137e-06,0.000155463268985884,0.774325462850213,0.0221727416653521
20,NaN,1.6848269721327e-05,0.000193525880648474,0.639026449847091,0.00819283073488397
25,NaN,2.44828611317647e-06,0.00019881940498967,1.69137740102296,NaN
