t,RAF_Obs,pRAF_Obs,pMEK_Obs,ERK_Obs,pERK_Obs
0,3.10261321568756,8.40287864658975e-06,0.000517067218543599,0.510171957387537,0.0164800938069479
0.4,1.28421661219511,NaN,NaN,NaN,NaN
0.85,0.641710374840048,NaN,NaN,NaN,NaN
1.5,1.09114960501872,NaN,NaN,NaN,NaN
2,1.13943729765869,NaN,NaN,NaN,0.0979588688548796
2.5,0.68536951069425,NaN,NaN,NaN,NaN
3,0.653323496895457,NaN,NaN,0.953162270560841,NaN
3.5,0.959253476176928,NaN,NaN,NaN,0.0314402608787966
4,NaN,NaN,0.000234832445244256,NaN,NaN
4.5,0.84375876174052,4.25133034114031e-05,NaN,NaN,NaN
5.5,1.03620155099666,NaN,NaN,NaN,0.0373410494041787
6.5,0.188087850099824,NaN,NaN,0.724394498237341,NaN
7.5,NaN,NaN,NaN,NaN,0.0336817130335384
8.5,NaN,NaN,0.000147560671930533,NaN,NaN
10,NaN,4.90690245680761e-06,NaN,0.953020612958059,0.0117651220031987
15,NaN,5.1868490849175e-06,9.60547427510241e-05,0.36807333072562,0.0233958087223476
20,NaN,NaN,0.000159066103222248,1.76155613721151,0.0186848265293278
25,NaN,2.02264507747661e-05,NaN,NaN,0.0102901342235089
