t,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs
0,0.000775614512474984,0,0.000111450760485746,0,1.23397816910952e-05,7.73776928237528e-06,9.96282257130901e-05
6,NaN,0.705427492808843,NaN,NaN,NaN,NaN,NaN
6.5,0.147599386658525,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,0.00137396310767697,NaN,NaN,NaN
9,NaN,NaN,0.00015189651850979,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,0.000576280770623661,NaN,NaN
10,NaN,0.755731478022171,NaN,NaN,NaN,0.000107538856595041,0.000313769433091684
15,0.103379728158502,NaN,NaN,0.00351626177173099,NaN,NaN,NaN
20,0.140712252038322,0.273002524529693,0.000547437857052539,NaN,0.00455925799010102,0.0026158768789424,NaN
25,NaN,0.409827652765442,0.00147701959369717,0.00363361751622003,NaN,NaN,0.0167810798081471
30,0.1839894048655,NaN,NaN,NaN,0.00356143309592259,0.00215281658515792,NaN
35,0.0854888957940895,0.201382648484788,0.0122923697920883,0.00191540279472977,NaN,NaN,0.0347432529362741
40,NaN,0.180357012344859,NaN,NaN,NaN,NaN,NaN
45,0.0722784312781571,NaN,NaN,NaN,0.00236399068888641,0.00234040339329752,NaN
50,NaN,0.0696060793776447,0.0217193072057867,0.000626897055369616,NaN,NaN,0.0467469624019818
55,0.119168120205671,NaN,NaN,NaN,0.00134238601708611,0.00128099762369264,NaN
60,NaN,NaN,0.0563711807011012,0.000572511861893035,NaN,NaN,NaN
65,NaN,0.0702225488756358,NaN,NaN,NaN,NaN,NaN
70,0.0849908822108704,NaN,NaN,NaN,NaN,NaN,0.0536844056004193
75,NaN,NaN,0.0607903638648273,0.000522790405343695,0.00103661954868883,0.000765524356414094,NaN
80,NaN,0.046017677312762,NaN,NaN,NaN,NaN,NaN
85,0.172883302188654,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,0.0785604348517787,NaN,0.000612377606753078,0.000531599337424024,0.0767210232574122
95,NaN,0.138948156703677,NaN,0.000470185550343206,NaN,NaN,NaN
100,0.120062640049835,NaN,0.0726492625856972,0.000423033203253331,0.000784663598943444,0.000763638167048424,0.0394858285852186
150,NaN,NaN,0.0515956196331889,0.000281356566580592,0.000205880860548097,0.000385777165255527,0.0487251097121848
200,NaN,NaN,0.0124597557275237,NaN,NaN,NaN,0.0286065094906861
