t,epo_level,EpoRpJAK2_Obs,SOCS3nRNA5_Obs
34,2.5e-09,0.00516197556927057,0.000257950216764618
34,2.5e-09,0.00556183537248087,6.68038588848961e-05
34,2.5e-09,0.00585365022756534,7.38916910637741e-05
34,2.5e-08,0.0230214771655454,0.000459750424954588
34,2.5e-08,0.0463132279325685,0.000874165693640832
34,2.5e-08,0.0876134689813063,0.0011261298639002
34,1.25e-07,0.0859008700147713,0.00520620363784885
34,1.25e-07,0.11738173365749,0.00652525013421581
34,1.25e-07,0.124336248941871,0.00349579545818736
34,2.5e-07,0.201458305183338,0.00668391384370097
34,2.5e-07,0.251964424750367,0.00556193218219384
34,2.5e-07,0.45100812206578,0.00448752415396071
34,1.25e-06,0.785761218016067,0.00479024479891819
34,1.25e-06,0.900914350801286,0.00213474863872233
34,1.25e-06,0.908851310805354,0.00460267004127015
34,2.5e-06,0.73051704653868,0.00342633450200756
34,2.5e-06,1.51367834344116,0.0136018237023574
34,2.5e-06,1.83208962847676,0.00490981944401368
