t,EpoRpJAK2_Obs,pSTAT5_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs
0,0.00127368052369266,0.000895683119971919,7.21546958422692e-08,6.95889203143837e-06
15,0.284086508757684,0.317576756001009,3.98195786094397e-06,1.97631272820292e-05
25,NaN,NaN,2.67184278505278e-05,NaN
30,0.0948794352039894,0.854867394360166,NaN,NaN
35,NaN,NaN,NaN,0.000186613333095975
40,NaN,NaN,4.97895857766812e-05,NaN
45,0.0704551187851115,0.595747845784173,NaN,NaN
50,NaN,NaN,NaN,0.000502560995785611
60,0.0873206961511024,NaN,5.06122706250156e-05,NaN
65,NaN,0.185787819993171,NaN,NaN
75,NaN,NaN,7.82608929769529e-05,0.000979066938330772
80,0.195211003575076,NaN,NaN,NaN
85,NaN,0.342210199782319,NaN,NaN
95,NaN,NaN,3.02940592823448e-05,0.00112467776110923
100,0.139383694951162,0.243255935164826,0.000136952867854745,0.00236334201604938
150,0.105422956664782,0.335422523395163,4.69597736003442e-05,0.00228179179840537
200,0.113298550109644,0.376821036168472,4.49671967450499e-05,0.00261325831215904
250,0.0906022147069897,0.181962583519467,2.73495557859098e-05,0.00111521918331082
