t,EpoRpJAK2_Obs,pSTAT5_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs
0,0.00108935860026666,0.014030870139247,1.93971750402072e-06,9.6737266850792e-05
7,0.59938720884516,NaN,NaN,NaN
10,NaN,5.10336443586312,NaN,NaN
15,0.4795222662446,NaN,0.000174876889534921,0.000304726195822459
20,0.265387672299371,11.8348859708004,NaN,NaN
30,0.200701010998546,NaN,NaN,0.00321196327299242
35,NaN,9.19611560685922,0.00126746238918454,NaN
40,0.12288704458618,NaN,NaN,NaN
45,NaN,7.65514510344083,NaN,NaN
50,NaN,NaN,NaN,0.012285371209383
55,0.13920286631727,NaN,0.000485940104381473,NaN
60,NaN,4.20152104888624,NaN,NaN
70,0.185054208332774,NaN,NaN,0.0180515234682454
75,NaN,NaN,0.000931111310723678,NaN
80,NaN,6.53610041014284,NaN,NaN
85,0.142629625223107,NaN,NaN,NaN
90,NaN,NaN,NaN,0.01599688492898
95,NaN,3.07267434312631,NaN,NaN
100,NaN,5.67315309628536,0.00102285706048736,0.0485689420833985
150,NaN,3.80142080031573,0.000769521024283638,0.023771723353594
200,NaN,3.86446032714537,0.000933115995319583,0.0348644848684197
250,NaN,NaN,0.000252063430500592,0.0320287669302191
300,NaN,NaN,0.000522046252438329,NaN
