t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,pSTAT5_Obs,SHP1_Obs
0,0.001474440063694,0.000646554003650122,0,0.104053375210595,7.22830112976206
10,0.205044802379611,NaN,1.44364375525314,NaN,11.2421823216046
15,NaN,0.318907647278491,NaN,38.4710199324536,NaN
20,0.20812204824502,NaN,1.25943014844513,NaN,NaN
25,NaN,NaN,NaN,NaN,12.5391858199564
30,NaN,0.360971054201188,NaN,NaN,NaN
35,0.170648403079548,NaN,0.374641975837441,34.2323420203811,7.13160121106714
45,0.171497820155446,NaN,0.380598379828263,NaN,NaN
50,NaN,0.147555634865909,NaN,NaN,14.4815204207392
55,NaN,NaN,NaN,17.4530893603682,NaN
60,0.179718341939934,NaN,0.385450550489083,NaN,NaN
65,NaN,NaN,NaN,NaN,17.5567781232854
70,NaN,0.281554002997831,NaN,NaN,NaN
75,0.220972987569826,NaN,NaN,22.1011789179554,NaN
80,NaN,NaN,0.24444043546091,NaN,11.2121956531693
90,NaN,0.241940467148129,NaN,NaN,NaN
95,0.118391077902613,NaN,NaN,NaN,NaN
100,0.192867942564773,0.116451086704808,0.297299184610894,17.605025137012,20.2445968119223
150,0.360930751030775,0.0895258743867445,0.252025037422502,31.2221106837673,13.7680957631279
200,NaN,0.109642843009667,NaN,35.5949251275221,14.5256059921513
250,NaN,0.177603823443049,NaN,26.9416924085246,NaN
300,NaN,NaN,NaN,20.6630549955956,NaN
