t,EpoRpJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,pSTAT5_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.00107745843767948,0.00122808835124736,0,0.0101242281586599,9.46366592003465,0,6.93224614501504e-05,0,2.86828086934856e-06,9.41063313618377e-07,5.66399050480022e-05,0
15,NaN,NaN,NaN,NaN,NaN,2.19068104706371,NaN,NaN,NaN,NaN,NaN,NaN
20,0.15845714938315,NaN,NaN,NaN,889.17000543511,NaN,0.00090752966825609,NaN,NaN,NaN,NaN,NaN
25,NaN,0.376309159959422,NaN,NaN,NaN,42.4086457050591,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,0.469508102300418,NaN,NaN,NaN,NaN,0.00380677749985244,NaN,0.00257381258278956,NaN,NaN
35,NaN,NaN,NaN,26.7669420803134,NaN,NaN,NaN,NaN,0.00388625952886846,NaN,NaN,9.34041721710316
40,0.0936057066842933,NaN,NaN,NaN,5586.41477181519,434.218755303101,0.0129708111878016,NaN,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0363427847198955,NaN
50,NaN,0.179194740392368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,1207.60249785701,NaN,NaN,NaN,NaN,NaN,NaN
60,0.217902597108592,NaN,0.183303483025869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,3361.51913479552,NaN,0.0771603906967545,0.000723471623057577,NaN,0.00120321933928516,NaN,14.3514617642737
70,NaN,NaN,NaN,7.73739503206031,NaN,2582.57343341307,NaN,NaN,0.00170398286567314,NaN,NaN,NaN
80,NaN,0.180540297229931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,0.202729747474713,NaN,NaN,NaN,5688.69634127716,NaN,NaN,NaN,NaN,NaN,0.0312655971214887,NaN
90,NaN,NaN,0.151316316617658,NaN,NaN,2667.78114118199,0.0751301340520009,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000575557220160432,NaN,NaN,NaN,NaN
100,0.207348696206368,0.139217104076809,NaN,5.64131922295584,2767.88873563505,3268.85021663119,0.0937906852534653,NaN,0.000479247841149718,0.00036839906495922,NaN,8.58314932944377
150,0.209542900095457,0.198436321254027,0.136647008507088,2.26920893772198,464.44844706189,1283.90628227923,0.117353966663754,0.000376717117495772,0.000461909817985359,0.000525534070909226,0.0704500080288264,3.70030625756267
200,0.135082928007582,0.121767971153368,0.0855409356011911,4.58467457352889,754.852091202017,1894.40990535795,0.0402136369664377,0.000529053157169074,0.000370420164533367,0.000504733079943841,0.0225300719164697,7.75665566804052
250,NaN,0.179526288466316,NaN,4.14632219091647,600.405069924366,NaN,0.0278215751962055,0.000322455115619166,0.000467641079708017,0.00136611053505067,0.0242779641824724,6.26469755352758
300,NaN,NaN,0.171703833387097,NaN,1003.10098099766,NaN,NaN,0.000653529681002313,0.000502328880117304,0.000955214734075308,0.0241335737372983,5.78895977934551
350,NaN,0.186393052690085,NaN,2.45582281972322,628.645760589466,NaN,NaN,0.000292044081504919,NaN,0.000342201484240833,NaN,4.14081849707897
400,NaN,0.12115433544034,NaN,NaN,NaN,NaN,NaN,NaN,0.000650157538346186,NaN,0.0158560201889922,NaN
450,NaN,NaN,NaN,NaN,1338.19350348085,NaN,NaN,NaN,0.000417603107851538,0.00123620510489056,0.0219993186270895,5.61075594872229
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.63954712079003
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0436451261088081,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.90580561955298
700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0214560820768329,NaN
