t,epo_level,SHP1_Obs
11,2.5e-09,16.8833898184112
11,7.905e-09,11.164895911209
11,1.25e-08,15.1131777707045
11,1.75e-08,7.78419431662233
11,2.5e-08,25.0339265815475
11,3.95e-08,21.9660128612033
11,7.9e-08,12.6702875980913
11,7.9e-08,13.181151395567
11,7.9e-08,14.2130602366027
11,1.25e-07,11.0017035659426
11,1.7675e-07,5.6143568010828
11,1.7675e-07,16.1150343078599
11,1.7675e-07,20.9325979093321
11,2.5e-07,6.80830852534612
11,2.5e-07,9.55529387957101
11,2.5e-07,11.4102285037425
11,7.905e-07,16.869860899507
11,2.5e-06,17.0097188209066
