t,epo_level,EpoRpJAK2_Obs,SOCS3nRNA5_Obs
9,2.5e-09,0.0037668949386987,9.42212437625383e-07
9,2.5e-09,0.00435779352166948,1.21719289533448e-06
9,2.5e-09,0.00631915850921761,6.79083083962336e-07
9,2.5e-08,0.0386442132109075,1.86610812722216e-05
9,2.5e-08,0.0403322385445021,1.30746651889923e-05
9,2.5e-08,0.0494535996089851,1.58725723862256e-05
9,2.5e-07,0.300796953581333,0.000341380695697813
9,2.5e-07,0.310427469836785,0.000272074459300693
9,2.5e-07,0.339976814522824,0.000313485996876137
9,2.5e-06,0.564793923690104,0.00111779686484375
9,2.5e-06,0.739475688989336,0.00182545148530091
9,2.5e-06,0.929946069077834,0.00109153420455521
9,2.5e-05,2.32160889148397,0.000865070417277657
9,2.5e-05,2.58490081475555,0.00127242302955154
9,2.5e-05,2.79968027738157,0.00117935809871632
