t,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs
0,0.000840232316244369,0,0.000171592916105845,0,1.07656869643822e-05,1.16082244595217e-05,7.70916664116649e-05
5,0.17975346701191,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,0.920489487118481,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,0.000655538354860825,NaN,NaN
10,0.0898692772244764,NaN,0.000191139298915366,0.00175642384885113,NaN,0.000552215034163365,0.000133452755071904
15,0.172088195007676,1.39343654549653,NaN,NaN,0.00471697764086045,NaN,NaN
20,0.115344744360738,0.881475859918483,0.00109467545952186,0.0034191150211892,NaN,0.00221225075488739,NaN
25,NaN,NaN,NaN,NaN,0.0046207618579085,NaN,0.0121828636570118
30,0.086235347664783,0.31285989417468,0.00786089189310436,NaN,NaN,NaN,NaN
35,0.286948474345714,NaN,NaN,0.00253486103825688,0.00350414805316069,0.00326451668463306,0.0772953057777346
40,NaN,0.235932346282081,0.0139631360655086,NaN,NaN,NaN,NaN
45,0.232037387090563,NaN,NaN,0.00244310222395766,0.00165809017042779,0.00265843238142914,NaN
50,NaN,0.161865517356077,NaN,NaN,NaN,NaN,0.0752884940863382
55,0.0797820471011414,NaN,0.0501598758252181,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,0.000562506070800668,0.00155732688151394,0.00206821944869823,NaN
65,NaN,0.205884711880576,NaN,NaN,NaN,NaN,NaN
70,0.132972351000145,NaN,0.104228483280503,NaN,NaN,NaN,0.0544060895438262
75,NaN,NaN,NaN,0.00135515825361384,0.000789700478748629,0.000840105879432524,NaN
80,NaN,0.248578105836828,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,0.10062090537434,NaN,NaN,NaN,0.12768177486507
90,NaN,NaN,NaN,NaN,0.000657191556301157,NaN,NaN
95,NaN,NaN,NaN,0.000679506833691705,NaN,0.00117054806556766,NaN
100,NaN,0.177878897636733,0.113593568373186,0.00046123369661299,0.00121906800777897,0.000777005462162453,0.0653943045334037
150,NaN,NaN,0.0436322951776053,0.000701774352646938,0.00044580617440953,0.000454979410617018,0.0407065868540545
200,NaN,NaN,0.0321785872879572,NaN,NaN,NaN,0.0424227214325379
