t,EpoRpJAK2_Obs,SOCS3nRNA5_Obs
0,0.00123326615902034,1.00300228910153e-05
8.5,0.667300395731069,NaN
10,NaN,0.00212875228334023
15,0.669027286132399,NaN
25,1.01419694422181,0.00316944393786154
35,1.22092185671182,0.00703276801220574
45,1.1612134420198,NaN
50,NaN,0.00296872690968006
55,1.24634907968426,NaN
65,NaN,0.00130916263466159
70,0.647846935029749,NaN
80,2.1927845687225,NaN
85,NaN,0.000891341427738541
95,0.677471983430675,NaN
100,0.848498577310849,0.00102089186042233
150,0.9644487861366,0.00122136043370365
200,0.705798964102292,NaN
