t,EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,CISRNA_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs
0,0.000758443244956025,0,0.000134975977123599,0,6.84430766626953e-06,7.16842568827932e-06,6.88726126354804e-05
6,0.183303657004028,0.596149051303831,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,7.76280656834299e-05,NaN
9.5,NaN,NaN,0.000135947304823939,NaN,NaN,NaN,NaN
10,NaN,0.518620415996239,NaN,0.00154187691725155,0.00105150560452216,NaN,0.000286721543551225
15,0.0609386123250421,NaN,NaN,NaN,NaN,0.00248057042802625,NaN
20,0.187270892829327,0.2257973626614,0.00044636425131671,0.00829163145905127,0.00517164840052952,NaN,0.00498343469091305
25,0.101663708117542,0.345303473738345,NaN,NaN,NaN,0.0042980547422037,NaN
30,NaN,NaN,0.00329547232612036,0.00352700316279341,NaN,NaN,0.0250145786633919
35,0.0688840599433511,0.0936535321606604,NaN,NaN,0.00319967855793514,0.00203046148923132,NaN
40,NaN,NaN,0.0124958574958551,NaN,NaN,NaN,0.0210595110366714
45,0.167327735908825,0.100692765268808,NaN,0.00114171689155095,0.00130386845495275,0.00252770528911863,NaN
50,NaN,NaN,0.0524116081913335,NaN,NaN,NaN,NaN
55,0.163772924477122,0.103732147837771,NaN,0.000538177163703113,NaN,0.00187255149561791,0.038702520208091
60,NaN,NaN,NaN,NaN,0.00128709194662669,NaN,NaN
65,NaN,NaN,0.0297793561350615,NaN,NaN,NaN,NaN
70,0.124316900656531,0.0939917648870058,NaN,0.000659747341738738,NaN,0.000755399373389009,0.0443740182956009
75,NaN,NaN,NaN,NaN,0.00092971457174128,NaN,NaN
85,0.264081839220548,0.0734172058333406,0.0575570720639225,0.0008957373017476,NaN,0.000364624655557544,0.0309965560550882
95,NaN,NaN,NaN,NaN,0.000462743915693475,NaN,NaN
100,0.118164304956573,NaN,0.112682284078465,0.000411850778369532,0.000523863514278388,0.00102806164924005,0.0542271024296417
150,NaN,NaN,0.0236052245481196,0.000483739410794609,0.000237133146069802,0.000415012198150747,0.0349212109949253
200,NaN,NaN,NaN,0.000253492195850142,NaN,NaN,0.0155109525392063
