t,Compound_4_Obs,Compound_6_Obs,Compound_7_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs
0,2.66527054696163,5.91826382138198,143.496073459922,102.788151843416,74.9706231134218,2.63934968041074
20,NaN,NaN,60.9313815482539,NaN,NaN,NaN
25,81.9587529976477,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,73.1918820691021,NaN,68.1567036007327
45,NaN,NaN,47.9749692047231,NaN,NaN,NaN
55,78.335808535149,NaN,NaN,NaN,NaN,NaN
60,NaN,6.38956411012291,NaN,75.0793911822345,85.9541476804804,NaN
65,NaN,NaN,NaN,NaN,NaN,61.4154182517053
70,NaN,NaN,56.2643125946512,NaN,NaN,NaN
90,65.920866142262,NaN,NaN,78.7255111319579,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,52.3996556785761
100,59.6044613788652,6.82377113747269,78.3860636172516,81.5808777883382,77.6433829367753,NaN
150,37.6518931555558,NaN,106.095421831047,92.3898085739706,NaN,36.0449827257964
200,18.3851839847587,7.90829458222107,124.222649835667,100.493865357433,77.5575052589332,24.5606307134111
250,11.1352370216969,8.06754415088618,134.662080652122,98.9805510843937,75.1335622020796,16.6143608124433
300,NaN,NaN,NaN,98.6409792885213,77.7548233225908,14.1057959160245
350,NaN,7.68418959560554,NaN,98.6014995947458,NaN,NaN
400,NaN,7.16900443874486,NaN,NaN,74.4949485429286,8.84436117257161
450,NaN,NaN,NaN,97.1095579759036,NaN,5.88013582539354
500,NaN,6.30288417536855,NaN,NaN,78.9731872199464,NaN
550,NaN,NaN,NaN,97.899001189222,NaN,4.88732098529984
600,NaN,NaN,NaN,NaN,75.7018696744301,NaN
650,NaN,5.40449837902204,NaN,NaN,NaN,4.4465811040881
750,NaN,5.45826704997223,NaN,NaN,73.8593920848042,NaN
900,NaN,5.24654419303177,NaN,NaN,79.299203198186,NaN
1000,NaN,5.46919620894454,NaN,NaN,72.3967104501518,NaN
1500,NaN,5.01391750514327,NaN,NaN,69.4469392237233,NaN
