t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs
0,3.46547138598955,4.17617557258695,209.124596076921
30,NaN,NaN,151.878060489564
40,NaN,13.005443636636,NaN
45,47.7593723680762,NaN,NaN
55,NaN,NaN,155.416416717125
80,NaN,11.6669578904421,NaN
85,NaN,NaN,155.678971040429
95,41.8635026474626,NaN,NaN
100,NaN,NaN,166.923617097485
150,29.6343410262851,7.55157102144487,176.833510285475
200,20.9415370485377,5.53160118705511,179.368188793918
250,16.2546020565306,NaN,202.602054471907
300,NaN,2.8836864178005,210.832936636935
350,10.2376929095054,2.92297928975243,206.382079964245
400,7.89351627964137,NaN,218.362502948542
450,NaN,2.79914542984933,NaN
500,5.24058564714099,2.52619682662641,218.943150229284
600,3.98089886472453,NaN,NaN
650,NaN,2.38562842506177,NaN
750,4.25656461072354,NaN,NaN
900,3.05938728861713,NaN,NaN
