t,Compound_4_Obs,Compound_5_Obs,Compound_7_Obs,Compound_8_Obs,Compound_10_Obs
0,3.74822943019911,4.85592965576964,89.4839496477411,3.09674976922323,121.58049043877
9.5,NaN,NaN,NaN,2.99316540300785,NaN
10,3.6390076993514,NaN,95.6647682919012,NaN,129.49514909044
15,NaN,4.76745297032096,NaN,NaN,NaN
20,NaN,NaN,101.515992556707,3.0490079229157,NaN
25,3.7224202878423,4.55751045919038,NaN,NaN,129.722284337233
30,NaN,NaN,NaN,3.07268804991158,NaN
35,3.70230341027821,NaN,98.170543265616,NaN,NaN
40,NaN,4.80438842280386,NaN,NaN,130.711892683093
45,NaN,NaN,93.3653660066269,2.96733182251642,NaN
50,3.74730252766651,NaN,NaN,NaN,NaN
55,NaN,5.31900311181254,NaN,2.99940925764461,127.493921717023
60,NaN,NaN,97.016087996768,NaN,NaN
65,3.71377319208399,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,133.224413767354
75,NaN,4.82891723718861,NaN,3.08469065288862,NaN
80,NaN,NaN,96.4049497144289,NaN,NaN
85,3.66530492796179,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,123.693292649113
95,NaN,4.94679176515014,NaN,NaN,NaN
