t,input_il6,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,2.5,0.000347670435030767,0.000591313011269755,0.00598712657737305,0.00662900714960645,0.00537787915446005,0.000245619593964809
0,2.5,0.000300587779956431,0.000708653519979153,0.00591622696902945,0.00616857444966843,0.00560943396431911,0.000217991292970642
0,2.5,0.00034579580735487,0.000590816875762511,0.00547474136792805,0.00572820913566816,0.00570207609611956,0.000278019573644091
0,2.5,0.000339885452797318,0.000660904403483945,0.00591128050606271,0.00544963957193993,0.00514658780451324,0.000256096481204117
0,2.5,0.000339624697825302,0.000615377599359589,0.00542277072377449,0.00595599927941977,0.00528333355754046,0.000248115062180596
0,10,0.000314438735947897,0.000597649021336505,0.00611281196881446,0.00546412039191323,0.00554054988955086,0.000284080073842182
0,10,0.00029144248948018,0.000698797314223705,0.00638919404160701,0.00535795890522524,0.00539741185982137,0.000249618008985212
0,10,0.00033901926628419,0.000610470257428285,0.00573382787802366,0.00489109723141742,0.00559748012743557,0.000249261531427825
0,10,0.000310513258380377,0.00074124342270767,0.00543090447386756,0.00569013297739591,0.00528744532706866,0.000301984457742145
0,10,0.000311248961133164,0.000607843475938045,0.00530503146528578,0.0048405543384069,0.00581005429113807,0.00027085984294218
0,60,0.000325645547317592,0.000599452921855906,0.00566443167410194,0.00545251541915856,0.00571881763382015,0.000289525355555977
0,60,0.000343883727186107,0.000735303178225548,0.00527917954690388,0.00482482573781649,0.0052073580649737,0.000262195244275276
0,60,0.000373591400856562,0.000585457151530822,0.00553082514676556,0.00583222782551294,0.00560464011391846,0.000250977960161626
0,60,0.000339414545627652,0.000663683923941488,0.0050037625712365,0.00569241478154387,0.00521367013205179,0.000289209739774078
0,60,0.000340901554084859,0.000620947459500523,0.00559135133614701,0.0063067007586236,0.0056381944763252,0.000256658912891012
0,120,0.000299355634972679,0.000615277981199353,0.0058376866565829,0.00511266958628995,0.00582052202657378,0.000278072192006242
0,120,0.000355611214611356,0.000511615047183004,0.00529641719627707,0.00620523587985517,0.00570429960751648,0.000248888423247998
0,120,0.00027918867363997,0.000593580349042007,0.00578508478118609,0.00628342679198923,0.0062019752014694,0.000240207734397233
0,120,0.000325298285111332,0.000627855035571344,0.00509449393115008,0.00566617903916854,0.00589491508060764,0.000289696637493644
0,120,0.00029635452998595,0.000588943057758538,0.00592312772529788,0.00494096892790326,0.00542204062013764,0.000231185807703856
