t,input_il6,STAT3_Obs
970,0.1,28.7961161398109
970,0.1,31.7370301011539
970,0.5,26.9772000181675
970,0.5,30.5913680364627
970,1,27.4277187380333
970,1,28.4196245633971
970,2.5,29.2489815666627
970,2.5,30.1774096080046
970,5,25.6893495275474
970,5,31.1227572141339
970,10,23.7504953431175
970,10,27.1490545394938
970,25,28.2053733527129
970,25,30.0902514021205
970,50,28.1788887641929
970,50,28.4201310028162
970,100,28.9835649275427
970,100,29.3467341571379
970,500,27.5822177617328
970,500,32.8035132863842
