t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,4.81827883724218e-05,0.000949086368446561,-5.26855117875764,-5.06111933394046,0.0799195519730009
3,NaN,NaN,-0.777858937227353,2.65045323542764,NaN
3.5,NaN,NaN,NaN,NaN,0.0542430740224408
6,NaN,NaN,2.38820943289231,0.935943090064846,NaN
7.5,NaN,NaN,NaN,NaN,0.153625748189325
9,NaN,NaN,101.123416664895,14.3273488001102,NaN
10,0.0413123021089006,0.0576180990231536,160.667850451329,23.4521634009142,0.00205933262105401
15,NaN,NaN,345.716508799564,153.45677567633,3.12192859488249
20,NaN,NaN,223.944186521334,251.379793123878,8.82058861851152
25,6.70175635142273e-05,0.000752641358130504,101.718230405315,229.163926224914,10.8848923495592
30,NaN,NaN,35.9743721101439,124.668435663311,8.78685504844459
35,NaN,NaN,NaN,62.6552051450329,NaN
40,-0.000339746894113038,0.000706255506222803,2.67566710055979,NaN,3.22427309171122
45,NaN,NaN,-7.90661837999994,15.4953423609442,1.16826714793047
55,-8.14178815536276e-05,-0.00024960402800071,6.29676437209299,6.54655282719538,-0.183283280715309
65,NaN,NaN,NaN,NaN,0.21021923369432
70,0.000180122963257434,NaN,NaN,NaN,NaN
75,NaN,0.000842379386048094,NaN,NaN,NaN
90,0.000203772936240862,NaN,NaN,NaN,NaN
95,NaN,-0.000901490938279192,NaN,NaN,NaN
100,6.58199561936168e-05,-0.000258932237895623,NaN,NaN,NaN
150,-0.000365128776167034,-7.79622765174392e-05,NaN,NaN,NaN
