t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,-0.000301217592091648,0.000626782331205054,7.26893068624666,-1.1809245842736,0.426801633645472
3,NaN,NaN,3.1113970443606,-11.7542788898553,NaN
3.5,NaN,NaN,NaN,NaN,0.33613337508658
6,NaN,NaN,NaN,-0.844434656494162,NaN
6.5,NaN,NaN,23.9956488309077,NaN,NaN
7,NaN,NaN,NaN,NaN,-0.0957035708842245
9,NaN,NaN,NaN,18.0478817872226,NaN
9.5,NaN,NaN,271.805412998578,NaN,NaN
10,0.0456971305299916,NaN,NaN,29.4388401288375,0.206497298309873
15,NaN,-1.0344000631416e-05,518.15306669376,264.385701234342,5.55364980958689
20,0.000340334095927792,NaN,321.033437683834,399.326765000241,13.2740599527658
25,NaN,NaN,133.332149510155,322.673124216036,15.7179894676269
30,NaN,-5.13353552743384e-06,NaN,178.975658862492,13.5872569084321
35,0.000305906482359928,NaN,10.262544465255,81.2189392103958,7.16874113324224
40,NaN,NaN,-9.91217738750717,36.8471919025628,NaN
45,NaN,8.48401218245462e-06,NaN,NaN,2.3665728424615
50,-0.000127354932628118,NaN,5.39025747443402,1.68898177121948,NaN
55,NaN,NaN,NaN,NaN,0.0306455975900109
60,NaN,NaN,1.23063185517426,-8.236094464901,NaN
65,0.000186373979008153,1.65646327647842e-06,NaN,NaN,0.22826540445945
85,0.000586140750468447,5.30667111538364e-05,NaN,NaN,NaN
100,0.000295879083346472,8.12653215288504e-05,NaN,NaN,NaN
150,-0.000209950320140133,0.000230018701236499,NaN,NaN,NaN
200,NaN,0.000364639103347716,NaN,NaN,NaN
