t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,tpSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.000268486087683137,0.000769554604163242,0.306667724237803,-1.77260755357223,2.92373389935308,-3.73614935549754,-2.76613216556445,-0.0714895958408854
6,NaN,NaN,NaN,NaN,NaN,NaN,-5.96696040908708,NaN
7,NaN,NaN,9.68150980648481,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,630.138415155637,NaN,98.4560274186035,NaN,NaN
9.5,NaN,NaN,NaN,NaN,332.908092650864,NaN,NaN,0.253221903535957
10,NaN,NaN,NaN,NaN,NaN,NaN,21.7795979945859,NaN
15,-0.00027601349820332,-0.000254666274336372,1.07818928940557,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,38.3218037575471,128.168620581564,222.573885358101,255.538004764207,8.36881151545837
25,-0.000126723956099209,NaN,-0.0776499338071002,NaN,NaN,NaN,224.138887888373,NaN
30,NaN,3.37600598288821e-05,-0.14441183297896,1.63219954555201,9.46212497666561,35.3949778222508,NaN,8.59912992404084
35,NaN,NaN,NaN,NaN,NaN,NaN,60.8256914727392,NaN
40,-4.40269152724345e-05,NaN,-0.0399759038537837,-5.34631667054762,0.652886472207817,10.0992364812239,28.1759795273037,NaN
45,NaN,0.000359172719163323,NaN,NaN,NaN,NaN,NaN,1.13677845455392
50,NaN,NaN,NaN,2.51938536840699,NaN,1.84108359851174,8.82495207983299,NaN
55,NaN,NaN,0.0524106327913279,NaN,1.76659790986595,NaN,NaN,0.271595433048254
60,0.00069280167433475,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,NaN,0.00114646701952707,0.0474966335021919,-6.08144394580978,NaN,-3.46307468528263,-1.79693955810014,NaN
70,NaN,NaN,NaN,NaN,1.12504558564339,NaN,NaN,-0.0643137664504001
80,0.00435209272549886,NaN,NaN,NaN,NaN,-0.821469721389872,-2.44040682247537,NaN
85,NaN,0.00744091834260839,2.32606262975076,10.0736817300392,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,0.598607889342968,NaN,NaN,-0.202736816489096
95,NaN,NaN,NaN,NaN,NaN,NaN,-1.563249553517,NaN
100,0.00204379347579486,0.0028032279668865,0.226759034891493,2.36315029589441,0.573980606209492,2.77157666862727,NaN,0.323852894819676
150,0.00591041331315954,0.00871026697413674,NaN,13.5993443807441,1.10593152055801,6.85804866256992,NaN,0.32496582758819
200,NaN,0.00750557272964965,NaN,NaN,NaN,NaN,NaN,NaN
