t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.000327033976239535,0.000641315313602129,-5.05573285696994,2.26057420915746,0.515473048032433
2.5,NaN,NaN,6.71174499028385,NaN,NaN
3,NaN,NaN,NaN,0.50117636356768,NaN
4.5,NaN,NaN,NaN,NaN,-0.18262899163155
5,NaN,NaN,3.38610339739756,NaN,NaN
6.5,NaN,NaN,NaN,5.59457176530955,NaN
7.5,NaN,NaN,28.3081728393472,NaN,NaN
8.5,NaN,NaN,NaN,NaN,-0.230262417918476
10,NaN,NaN,157.793990581073,19.263888595239,NaN
15,6.41771213052365e-05,0.000103608735840516,343.274127798479,152.03015883345,3.03089422342672
20,NaN,NaN,208.07767660565,252.57537019754,8.39231301699033
25,NaN,NaN,91.4649286422814,223.793820640118,10.2395124137226
30,7.56713991792086e-06,1.14053209678947e-05,46.0335722051885,135.176207831109,8.69848844864593
35,NaN,NaN,11.4982814208849,NaN,5.66268852925771
40,NaN,NaN,NaN,29.8063038485539,NaN
45,-1.03047523353782e-05,-8.88594927279913e-06,-8.35500532461628,17.5719938023837,1.58971175499551
50,NaN,NaN,-5.44561689803962,NaN,NaN
55,NaN,NaN,NaN,-0.774607703925468,0.249515809515974
60,4.15475562630961e-06,NaN,NaN,NaN,NaN
65,NaN,-1.7541391598967e-06,NaN,3.11694173466304,-0.0656311960492602
80,NaN,NaN,NaN,NaN,-0.214742812682423
85,3.09703406008102e-05,4.5091551117289e-05,NaN,NaN,NaN
100,5.58417677325011e-05,0.000106570208754228,NaN,NaN,NaN
150,0.000137619910823378,0.000258229693532591,NaN,NaN,NaN
200,NaN,0.000368127953356701,NaN,NaN,NaN
