t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,-0.000522317374353007,0.000670006418574893,-7.46741240799653,-1.5082779996066,0.168810237849868
4,NaN,NaN,15.504897360813,NaN,NaN
7,NaN,NaN,NaN,-3.03098609669796,NaN
8,NaN,NaN,64.9685957705926,NaN,NaN
9.5,0.0439580076130528,NaN,NaN,NaN,-0.0238200733543232
10,NaN,NaN,153.356917071431,NaN,NaN
15,NaN,NaN,338.538129449179,145.462418854619,NaN
20,9.44484410190993e-05,1.5473087653545e-05,228.321340036559,248.465597473334,8.44500391760989
30,0.000315625657537481,NaN,33.1137329271437,137.808831984032,8.44082256731589
35,NaN,3.06790236376566e-05,-2.23940096746477,NaN,NaN
40,0.000207697150038486,NaN,NaN,29.3635268751438,2.67527897131744
45,NaN,NaN,-7.97596635735414,6.03132412843888,NaN
50,NaN,NaN,NaN,NaN,0.591129238315858
55,4.96629185454906e-05,3.50032948686219e-05,NaN,-0.641688791125183,NaN
65,NaN,NaN,NaN,NaN,0.0116713891384435
70,0.002335604456679,NaN,NaN,1.87189062721532,NaN
75,NaN,0.00368454851920976,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,-0.0172773720807314
85,0.00591004333034412,NaN,NaN,0.994327787264161,NaN
100,-0.000604391686456411,0.000783521767613145,NaN,6.88569911670223,0.444956292073378
150,0.000373766600030779,0.000164064652504132,NaN,-3.48373693197989,0.044431944976627
200,NaN,0.000177400750904917,NaN,NaN,0.0914367991686829
250,NaN,0.000327640075256917,NaN,NaN,NaN
300,NaN,0.00042332048551899,NaN,NaN,NaN
