t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,-2.30648412457896e-05,0.000658849678525954,0.429906377266762,1.31076202881043,0.0349760739938695
4,NaN,NaN,NaN,-0.977696571099094,NaN
4.5,NaN,NaN,-0.829362242004788,NaN,NaN
7.5,NaN,NaN,NaN,-0.206530817527186,-0.0212519355759762
9,NaN,NaN,9.58350739199568,NaN,NaN
10,0.0202565808140071,NaN,NaN,1.44149181302277,NaN
15,NaN,0.0153156856380692,88.7557191609585,22.874684147252,0.428006878415145
20,0.000150354857591527,NaN,77.5678287505766,63.2055171966604,NaN
25,NaN,-0.000122033475601068,37.4120927550375,67.9157738130229,2.8246115849907
30,NaN,NaN,14.3399053557174,NaN,NaN
35,4.48759602885055e-06,NaN,4.89252192497691,22.3548473496,1.88278885234133
40,NaN,NaN,NaN,15.195920914433,NaN
45,NaN,-0.000189896445379774,-0.520279527402058,NaN,0.513975314132453
50,-6.60449855982203e-05,NaN,1.79343820663121,1.90941815909992,NaN
55,NaN,NaN,NaN,NaN,0.173776129554803
60,NaN,-0.000125554602688548,-2.28286300830044,NaN,NaN
65,3.4545700246493e-05,NaN,NaN,0.462166203081979,-0.0197703482532298
75,NaN,NaN,1.02196064731109,NaN,NaN
80,-3.4676935920287e-05,0.000133037926163447,NaN,NaN,0.0139110024676288
90,NaN,NaN,0.719841628276373,NaN,NaN
95,NaN,NaN,NaN,NaN,-0.0063399577044544
100,-9.04581898488171e-05,-0.000175983217773092,2.68853106802038,NaN,0.00545427111396364
150,0.000545156342742412,0.000433618819895264,NaN,NaN,0.00528087719668341
