t,input_il6,STAT3_Obs
500,0.1,27.1191598171574
500,0.1,30.2819658567742
500,0.5,30.2032621270878
500,0.5,31.5647323494853
500,1,28.6020554662839
500,1,30.818927331579
500,2.5,32.3575631360305
500,2.5,34.1966358169009
500,5,29.3313730113105
500,5,29.5012663963671
500,10,29.7535962320994
500,10,31.3634024139079
500,25,29.4293314257651
500,25,32.3329660846956
500,50,27.2326879057078
500,50,27.6591935952134
500,100,25.7488346463822
500,100,28.5034185034102
500,500,27.1339364364003
500,500,27.2733982233616
