t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.00015502503784221,0.00055529337977232,-1.09481790304624,4.90823623825666,-0.520278528981444,-0.0470653290967242
3,NaN,NaN,5.36353140100534,NaN,NaN,NaN
3.5,NaN,NaN,NaN,NaN,NaN,0.0451177845084941
4.5,NaN,NaN,NaN,-0.545704058772351,NaN,NaN
5.5,NaN,NaN,NaN,NaN,-1.22591246339172,NaN
6,NaN,NaN,6.5776702651565,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,0.0886047833960662
9,NaN,NaN,63.9023874083242,NaN,NaN,NaN
9.5,NaN,NaN,NaN,27.8251761276716,NaN,NaN
10,0.0259520283075932,0.0343872833450072,105.299200606144,NaN,3.42158984945813,0.0928885336246296
15,NaN,NaN,160.75894038607,139.690346995493,44.2741315913491,0.682091688844469
20,-2.80419824369089e-06,NaN,71.2027901863036,108.932425924476,NaN,2.91807294822742
25,NaN,-0.000526735751198899,21.0975279697054,53.2634593863725,101.357489209382,4.26713817678172
30,NaN,NaN,8.67499864370589,NaN,65.9045842793915,4.08026734131102
35,0.000218205038014489,0.000481801987070077,NaN,8.04952801914791,NaN,2.51014880129286
40,NaN,NaN,-1.76055931270425,3.87029038554473,15.9619095972744,NaN
45,0.000394980835611684,NaN,NaN,NaN,5.06638351534675,0.719931057164748
50,NaN,0.000314020086375428,2.20834010062716,-2.01315895736807,NaN,0.407053997170505
55,NaN,NaN,NaN,NaN,-0.631337884956913,NaN
60,9.35721169105495e-05,NaN,NaN,-2.64222512356243,NaN,-0.0785225033095021
65,NaN,-5.24056162690238e-05,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,1.71296648006591,-1.52882051516918,NaN
80,-0.00028465067659871,NaN,NaN,NaN,0.423371315121337,NaN
85,NaN,-0.000176697232194294,NaN,-3.67439680418837,NaN,NaN
95,NaN,NaN,NaN,NaN,1.00936084253358,NaN
100,-2.68894634198531e-05,8.92651622787236e-05,NaN,-0.68125262987597,2.34381869369363,NaN
150,NaN,0.000387169814820205,NaN,NaN,1.31179677954863,NaN
