t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.000338269369492727,0.000581005223806366,-1.90768182042279,-0.534076653068263,-0.0200238167870155
3,NaN,NaN,-5.3924243366184,NaN,NaN
3.5,NaN,NaN,NaN,NaN,0.0503926249240425
5.5,NaN,NaN,NaN,-0.64681011670929,NaN
6,NaN,NaN,0.324819114781815,NaN,NaN
7,NaN,NaN,NaN,NaN,0.134619483893565
9,NaN,NaN,57.638358111899,NaN,NaN
10,NaN,NaN,90.8351001487079,12.8828447519046,0.338215957481032
15,0.000777507388457072,0.00129586777275841,245.438984182009,96.5093288828622,1.45826071527294
20,NaN,NaN,158.228064002486,NaN,5.83360140519153
25,-1.68060327427014e-05,NaN,73.1967156447091,160.936029090658,7.50344154267485
30,NaN,2.54024364685687e-05,31.1551904277647,99.8747015962651,6.3390167449792
35,NaN,NaN,13.5495401617956,50.2580926223502,4.05641811519821
40,-7.26098840999762e-06,NaN,NaN,NaN,NaN
45,NaN,-6.19141886712272e-05,9.13010362761553,14.9518336855531,1.12590744927692
55,6.46541675243605e-06,NaN,-0.589574291038499,0.842217482018324,0.0777480771931719
60,NaN,-2.22754695966892e-05,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,0.2114792498302
70,NaN,NaN,NaN,7.5816260975809,NaN
75,1.2943301939158e-05,NaN,NaN,NaN,NaN
80,NaN,3.98836782846437e-05,NaN,NaN,NaN
85,NaN,NaN,NaN,3.87312605689224,NaN
95,5.93068499155509e-05,NaN,NaN,NaN,NaN
100,6.55346217817905e-05,0.000128327068822553,NaN,-5.55981961250234,NaN
150,0.000143619726597331,0.000264353285758647,NaN,NaN,NaN
200,0.000177026566187175,0.000300360829015991,NaN,NaN,NaN
