t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.000326430318068947,0.000624588160908803,0.116637799538973,2.71190133216562,0.0250244997596423
3.5,NaN,NaN,NaN,NaN,-0.025767888415817
5,NaN,NaN,0.894252150804432,NaN,NaN
6,NaN,NaN,NaN,-0.241202789673952,NaN
7.5,NaN,NaN,NaN,NaN,0.000846552366881228
10,NaN,NaN,35.9372816361723,NaN,0.113995135086722
15,0.00155849278025838,0.00739160258192097,139.387636353108,43.3286211553257,1.04712750285764
20,NaN,NaN,111.790906415856,99.6336156067937,3.05127931704448
25,4.83989678973388e-06,NaN,53.8951628869303,99.1473447900911,4.36529358697844
30,NaN,0.000111817743745479,NaN,NaN,3.95190288355738
35,NaN,NaN,5.70243258827063,31.8617582311755,2.83376293778582
40,3.86186111029846e-05,NaN,3.11669105742787,18.1051474776484,NaN
45,NaN,3.67421560077547e-05,NaN,NaN,0.673663281320211
50,NaN,NaN,-1.67106644637326,1.56332842043735,0.425941862178125
55,NaN,NaN,-0.975215825929377,NaN,NaN
60,-1.66851545188828e-05,NaN,NaN,-4.15314266092067,-0.00502557962584482
65,NaN,1.16380627396073e-05,-2.00112271823677,NaN,NaN
70,NaN,NaN,NaN,NaN,-0.0751450840864799
75,NaN,NaN,NaN,-0.275327228330093,NaN
80,4.43873801249809e-05,NaN,1.74126967652694,NaN,NaN
85,NaN,7.95146583541173e-05,NaN,0.000285144281680375,NaN
95,NaN,NaN,2.66167210150536,NaN,NaN
100,5.19538567360356e-05,0.00020313649084519,0.670722449114896,-0.924668093174236,NaN
150,0.000170937163844282,0.00017598917165323,-2.7982465882756,-6.04666598286239,NaN
