t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,tpSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.00315005694138402,0.00120320045954915,1.38982184986504,0.00544338605983516,0.00567770695487714,0.00558061252925166,0.000253337605083112
4,NaN,NaN,NaN,0.00160988358287366,0.00511475544977932,NaN,NaN
4.5,NaN,NaN,NaN,NaN,NaN,0.00543791884669398,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,0.000252020393899408
8,NaN,NaN,NaN,0.000760441022012697,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,0.00270440079460348,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,0.0047650315552287,NaN
15,NaN,NaN,NaN,0.00018212386406563,0.000754205151011063,0.00280458888900514,0.000181757351895284
20,NaN,0.0835683897105418,13.7123370777956,NaN,0.000384675096751334,0.00160698378176455,0.000113207926453704
25,0.0394213989949009,NaN,NaN,-4.95956708050206e-05,3.11396634346822e-05,0.00043186356229661,NaN
30,NaN,NaN,NaN,6.36228603363342e-05,2.95298027137097e-05,0.000390234141267985,2.46516472319092e-05
35,NaN,NaN,13.2396374416623,-2.15490219511206e-05,7.55632446162379e-05,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,0.000100701327836092,5.61243607560246e-06
45,NaN,0.0730572397482797,NaN,NaN,-3.94970448929589e-05,NaN,NaN
50,0.0337142063246617,NaN,NaN,NaN,NaN,0.000149611705952486,3.59892220106979e-06
55,NaN,NaN,12.6455867422259,NaN,-0.000105042802136134,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,0.000162109336147067,1.60594823645828e-06
65,NaN,0.064718598728788,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,6.37989825859e-05,-1.44825267862777e-05,NaN
75,0.0297760689918183,NaN,11.8014036581485,NaN,NaN,NaN,-4.12012141229322e-06
85,NaN,NaN,NaN,NaN,NaN,-6.53671727782146e-05,NaN
90,NaN,0.0537849404756143,NaN,NaN,NaN,NaN,5.32943845755326e-06
100,0.0265144807024156,0.0502442711772765,11.1553229308299,NaN,NaN,NaN,-3.35817734236484e-06
150,0.0207663350034887,0.0389254060280445,11.2482525430195,NaN,NaN,NaN,NaN
200,0.0141003096603682,0.0320510515124391,9.12821875121385,NaN,NaN,NaN,NaN
250,0.0124310591873538,0.0254859687252939,6.4064811860743,NaN,NaN,NaN,NaN
300,0.0074005587637742,0.0182080805092331,4.72529412017885,NaN,NaN,NaN,NaN
350,0.00545979747697239,0.0108824372100467,4.00784215934254,NaN,NaN,NaN,NaN
400,NaN,NaN,2.88426061628669,NaN,NaN,NaN,NaN
450,0.00111710271426507,0.00609862985780059,NaN,NaN,NaN,NaN,NaN
