t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,tpSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.000410707158240559,0.00050636110774369,0.294239232284538,-0.811113710363142,0.355638087924532,-0.368214626822046,0.00553080336747226,0.0117649898668958
7,NaN,NaN,NaN,NaN,NaN,NaN,0.00118421358898989,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0246859280298996
9,NaN,NaN,NaN,NaN,11.3029547996627,NaN,NaN,NaN
9.5,NaN,NaN,NaN,41.8313901364084,NaN,NaN,NaN,NaN
10,0.0139445550662319,0.018773648050434,5.02182742034795,NaN,NaN,6.73804479395423,NaN,NaN
15,NaN,NaN,NaN,NaN,NaN,NaN,9.81148229722148,0.18296556410904
20,NaN,NaN,NaN,14.9293274238049,35.9288953207291,45.8157494722437,30.4757489877598,NaN
25,0.000547859398829023,-0.000399058969736499,-0.0144807006239347,NaN,NaN,NaN,NaN,1.4864098937091
30,NaN,NaN,NaN,0.602695271649949,4.04075184786975,10.5183040116097,27.9252622762368,NaN
35,NaN,NaN,0.00795987455631077,NaN,NaN,NaN,NaN,1.13088428914909
40,-1.42810357378989e-05,1.42779230185442e-05,NaN,0.2744019667572,-0.0246556182602867,NaN,7.72283478085478,NaN
45,NaN,NaN,NaN,NaN,NaN,0.058218042479676,NaN,NaN
50,NaN,NaN,0.0556893149794425,NaN,0.18010034273334,NaN,-0.100451255834422,0.140763029170392
55,0.000519376820507084,0.000623298173124504,NaN,0.169127673282225,NaN,0.0116895465198136,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0123746151727802
65,NaN,NaN,0.0752169209762039,NaN,0.101852254024275,NaN,0.534810897366464,NaN
70,0.00104473383041765,0.000990855398622437,NaN,-0.170077738977929,NaN,-0.525482751063193,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0130594738482328
80,NaN,NaN,NaN,NaN,NaN,NaN,-0.0194467001283317,NaN
85,NaN,NaN,1.13556653101686,NaN,0.00479038647563934,NaN,NaN,NaN
90,0.00304273686972012,0.00339471928212365,NaN,0.5633564590707,NaN,0.848930960765639,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,-0.0224057465182624,0.0116623530101187
100,0.00291362728865689,0.00397578597680417,1.06062512439292,0.566986386433363,0.401659227416786,0.973540765156559,1.98700326550967,0.0381393744846835
150,0.0022080185915864,0.0045330376046517,1.24646860847826,0.754215582033945,1.39393768730281,1.03157817822941,NaN,NaN
