t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.000326906964149119,0.000600477630698589,-0.140851458079476,-0.0459972753552375,0.209457407699951,-0.0613547290961638
2.5,NaN,NaN,1.11059875749564,NaN,NaN,NaN
3,NaN,NaN,NaN,-0.706029372678123,NaN,NaN
5.5,NaN,NaN,3.92234862060221,NaN,0.411373930611798,NaN
6,NaN,NaN,NaN,-0.409338171875385,NaN,NaN
8.5,NaN,NaN,40.3000374675281,NaN,NaN,NaN
9.5,NaN,NaN,NaN,24.4024756666112,NaN,NaN
10,NaN,NaN,73.2220437317513,NaN,1.64395392007573,0.0725632264829884
15,0.000177376372821468,0.00295010301848485,75.6157605782519,76.7243200959023,27.888340007517,NaN
20,NaN,NaN,32.2840320309664,52.6847002042906,NaN,1.73366572837752
25,NaN,-2.8900109749338e-05,5.82576426353071,22.5254551899038,49.0734059311232,NaN
30,4.35018668920957e-06,NaN,2.47503550891691,13.3119059179968,31.4134035203407,NaN
35,NaN,NaN,NaN,NaN,NaN,1.27518767869291
40,NaN,-6.75148369131207e-06,-2.54501137691058,0.593233968710196,6.64687600058389,NaN
45,-2.31927639137115e-06,NaN,1.34759744193471,-1.26285867025939,NaN,NaN
50,NaN,NaN,NaN,NaN,1.64385413806757,0.146689617925366
55,NaN,-4.82751711981012e-05,NaN,-0.271296223918951,NaN,NaN
60,1.33764953601293e-05,NaN,NaN,NaN,0.697584037407399,NaN
65,NaN,NaN,NaN,NaN,NaN,0.000743123792380109
70,NaN,NaN,NaN,NaN,0.0189341855602645,NaN
75,NaN,5.19188075082668e-05,NaN,NaN,NaN,NaN
80,4.32939532586561e-05,NaN,NaN,NaN,NaN,0.00308284383568451
85,NaN,NaN,NaN,NaN,-0.229890551290698,NaN
100,7.45021244328197e-05,0.000145562008096069,NaN,NaN,0.468350092022382,-0.0149547919141059
150,0.000147469443308852,0.000279142798784883,NaN,NaN,0.100150854087257,NaN
