t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,tpSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.000331728526259756,0.000695843353780975,0.290762724989877,0.187042767554066,-0.403892713984335,-0.128078358387431,-0.0374350443594073,-0.0106930603882302
8,NaN,NaN,NaN,2.8678650627883,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,1.3238845171472,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,0.612123892708114,NaN,NaN
10,NaN,NaN,3.01811611064196,NaN,NaN,NaN,0.0345993662226637,0.00483563966412664
15,0.00717959080130059,0.011708848617448,NaN,22.8519375431662,15.7280831596518,NaN,NaN,NaN
20,NaN,NaN,1.19749030978808,NaN,NaN,15.4857120517242,7.34153901344912,0.169877164335054
25,NaN,NaN,NaN,2.25199929032793,6.81805120702327,NaN,NaN,NaN
30,NaN,-3.77497005738542e-05,NaN,NaN,NaN,5.1151465850732,NaN,0.49614242908891
35,9.60727009718689e-05,NaN,-0.00647066260834626,0.00702182285995143,0.614228079877683,NaN,6.33665258612405,NaN
45,NaN,0.000172685293179661,-0.00963468058201374,-0.0918005326173003,NaN,0.117444800208711,NaN,0.134558059210064
50,0.000210155979782093,NaN,NaN,NaN,-0.235922180170109,NaN,0.799664921939035,NaN
55,NaN,NaN,NaN,-0.298611761298841,NaN,-0.176534748133056,NaN,NaN
60,NaN,0.000285909685616389,0.154777062797339,NaN,NaN,NaN,NaN,0.00734459849972312
65,NaN,NaN,NaN,NaN,-0.273109752878825,NaN,-0.0146206854163468,NaN
70,0.000793763570486062,NaN,NaN,0.2504707387464,NaN,-0.0833558687816332,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00452319309072197
80,NaN,0.00160596263761432,0.565983868948346,NaN,-0.254236998902068,NaN,NaN,NaN
85,NaN,NaN,NaN,-0.13961111725027,NaN,NaN,0.0582401839678543,NaN
90,0.00142780089625042,NaN,NaN,NaN,NaN,0.72172769880727,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00316270909244825
100,0.00170932369817936,0.00293849607041002,0.961432260477495,0.553052795567938,0.646796022196115,0.187401874978896,0.135875120747025,0.00815918089821144
150,0.00152779798795687,0.00298688760237713,0.907130618421278,0.347897016801225,NaN,-0.0847449318717322,0.000442071580662728,0.0140533457306444
200,0.00166063617337852,NaN,NaN,NaN,NaN,NaN,NaN,NaN
