t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.000344430177862153,0.000879196246009564,4.44366818612578,-3.64901617348555,0.00323398402170447
2.5,NaN,NaN,NaN,-1.8293570285616,NaN
4.5,NaN,NaN,NaN,NaN,-0.026704663123953
5,NaN,NaN,2.72013196792822,0.0365549968633047,NaN
7.5,NaN,NaN,NaN,3.12950559419174,NaN
9,NaN,NaN,NaN,NaN,0.0914005383473765
10,NaN,0.0347295024583717,42.5647904354143,1.72160776846307,NaN
15,0.0054171017296663,NaN,138.666738382071,42.4382186388742,1.00412082722061
20,NaN,-1.93457634277769e-05,114.105328123685,99.6282563723608,3.08381931760235
25,NaN,NaN,NaN,102.522300844184,4.36226117088618
30,4.9515833874441e-06,NaN,24.403483373077,66.9718340486317,4.01626438385325
35,NaN,0.000476491368731998,9.95318393059333,NaN,2.61200968041615
40,NaN,NaN,NaN,15.425031886373,NaN
45,-7.70749636711761e-05,NaN,-0.515044367412302,NaN,0.6725611265062
50,NaN,-8.84918025018884e-05,NaN,NaN,NaN
55,NaN,NaN,1.40098088306872,NaN,0.210439661473094
60,-2.23370093905783e-05,NaN,NaN,NaN,NaN
65,NaN,0.000108637159092862,-3.20648483534591,NaN,0.12276339659367
80,5.38157888015868e-05,-0.000119016835737298,-2.11308552668246,NaN,0.0131397700154244
100,6.455032458325e-05,0.000759317013959301,2.37552297444295,NaN,NaN
150,1.07673425202997e-05,0.000263389390490369,NaN,NaN,NaN
