t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.000284218090028865,0.000172594332327849,-0.96216753133943,1.03865805361023,0.0223805649878281
3,NaN,NaN,0.76280027793722,NaN,NaN
4,NaN,NaN,NaN,NaN,0.066702885748535
5.5,NaN,NaN,0.0495108279689135,NaN,NaN
6,NaN,NaN,NaN,-0.483353547636166,NaN
8.5,NaN,NaN,11.5019595770493,NaN,0.0350624206297551
10,0.00482312529130311,0.0220550000888199,35.0754985341153,3.97578110848306,NaN
15,NaN,NaN,98.903947572113,NaN,0.626169094410849
20,NaN,NaN,68.9689270751512,71.6670912037642,2.39594093902709
25,-5.25578545487835e-05,-0.000134276917503662,33.9229235626904,67.5869020810787,3.13883064034096
30,NaN,NaN,12.1382685042418,NaN,2.63237386078697
35,NaN,NaN,5.89578693112517,19.6468978743932,1.64278131854554
40,2.10513544751349e-05,-1.92648900931375e-05,3.15209876970231,10.6822935642202,NaN
45,NaN,NaN,NaN,NaN,0.395747504980765
50,NaN,NaN,0.125015642060774,0.490111125301056,NaN
55,3.25146643899213e-05,0.000122725524089683,NaN,NaN,0.158341750712314
60,NaN,NaN,NaN,0.321080379235304,NaN
65,NaN,NaN,NaN,NaN,0.129267782415991
70,1.27588697246928e-05,0.0001490588676326,NaN,0.855749225590552,NaN
85,NaN,NaN,NaN,-0.247331114736775,NaN
90,7.89287934741926e-05,NaN,NaN,NaN,NaN
95,NaN,0.000208976869491927,NaN,NaN,NaN
100,5.9852438815451e-05,0.00011100655982869,NaN,-1.65352766955189,NaN
150,0.000132653197836541,0.000246965590943757,NaN,-2.09936391944437,NaN
