t,JAK1_gp130_Obs,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,STAT3_Obs,tpSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA2_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs
0,0.533874907101443,-4.9900977202482e-05,0.000510412611447326,30.243220758521,0.250462956895851,1.40550170071306,2.72122827443861,-2.5925499154304,0.665263925639391,0.0106223579555763,2.4835456476843
7.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.0233334129494411,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.06535474928519
8.5,NaN,NaN,NaN,NaN,NaN,NaN,49.5441158966072,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.1987801792154,NaN,NaN,NaN
9.5,NaN,NaN,NaN,21.5620637993676,NaN,206.757528529125,NaN,NaN,NaN,NaN,NaN
10,0.465520665646847,0.0263423845588829,NaN,NaN,7.37846306062649,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,0.00897346419686888,NaN,NaN,NaN,163.500543194978,NaN,NaN,0.789132176716362,38.453006738798
20,0.005897288174288,NaN,NaN,27.3631826327081,0.324409128344084,24.6293993882451,NaN,111.470923743006,100.507187175012,NaN,NaN
25,NaN,0.000276295680144318,NaN,NaN,NaN,NaN,22.4262333681948,NaN,NaN,4.3770244843036,279.229676042436
30,NaN,NaN,-8.31528389047664e-05,29.5184189363572,NaN,3.42841627388295,NaN,19.1185080738683,NaN,NaN,NaN
35,-0.022589165566747,NaN,NaN,NaN,-0.0624853781575073,NaN,-0.239599817555851,NaN,NaN,2.51508939290867,198.297961036518
40,NaN,-0.000249214297743093,NaN,28.0699627651129,NaN,0.750063004885889,NaN,1.25199919840972,14.0106959001797,NaN,NaN
45,-0.0003744240450935,NaN,-0.000267848888145591,NaN,-0.00147633215095468,NaN,NaN,NaN,NaN,0.701981046055082,55.6170155653673
50,NaN,NaN,NaN,NaN,NaN,NaN,0.337086375387322,1.87321470378377,NaN,NaN,NaN
55,NaN,0.0004615502606355,NaN,31.250734441985,NaN,-1.42253031173621,NaN,NaN,NaN,0.125261856134534,NaN
60,0.00269948472037227,NaN,0.00015985351468051,NaN,NaN,NaN,-1.16435769758576,NaN,1.56904792831407,NaN,6.52124375761292
65,NaN,NaN,NaN,NaN,0.133449578343234,NaN,NaN,-0.926550037599602,NaN,NaN,NaN
70,NaN,0.00133579182661551,NaN,NaN,NaN,2.39503489195038,NaN,NaN,NaN,-0.0263384636971328,NaN
75,NaN,NaN,NaN,25.2630384466635,NaN,NaN,3.94826899689308,NaN,NaN,NaN,-3.6600365530912
80,0.0612181563644364,NaN,0.00429636348777269,NaN,NaN,NaN,NaN,-0.0939854582687357,-0.0936869752040814,NaN,NaN
85,NaN,NaN,NaN,NaN,1.60879431553954,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,0.00374212359648275,NaN,NaN,NaN,3.69817063233611,NaN,NaN,NaN,0.0919924305743322,NaN
95,NaN,NaN,NaN,26.5930153528185,NaN,NaN,2.75177607312448,NaN,NaN,NaN,2.38447589153102
100,0.0769784440916628,0.00329117795165014,0.00459715279516486,28.4487194753235,0.617765601028135,0.296210400787379,2.94242646288856,2.56965480049263,1.84670962117755,0.0197146433552471,7.63644994250711
150,0.061286062930347,0.00388766852516542,0.00638607157814131,NaN,1.51202125984614,4.69199429305729,NaN,1.70858964571359,1.08774716038468,NaN,NaN
200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.216440280031516,NaN,NaN
250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.218241811360543,NaN,NaN
300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.86960418370583,NaN,NaN
350,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.490102725909997,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.65897654082244,NaN,NaN
