t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,tpSTAT3_Obs,nSOCS3RNA1_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.000153146984498197,0.000713483260558578,0.325730924564994,0.0377561105121975,0.0175105059497986,-0.0335237007786304,-0.000687423351002116
7.5,0.00369899000901431,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,0.00549266574459445,NaN,1.33226901082398,0.147373628913475,NaN,NaN
15,0.00387145000758847,NaN,2.2418233992962,NaN,NaN,0.264474475676856,0.00403854515497869
20,NaN,0.0062954809923653,NaN,4.84434319938796,NaN,NaN,NaN
25,0.00236726979506583,NaN,NaN,NaN,3.98357594083096,2.87047726318286,0.0842645395729893
30,NaN,NaN,0.22912491201851,NaN,NaN,NaN,NaN
35,0.000540729295237879,0.000733530436921511,NaN,-0.000928436651314923,1.05794426407924,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,1.53093896573531,0.100787274209668
45,0.000198611790802917,-4.23582296401488e-05,0.00308632693962723,-0.126141498262869,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,-0.0198245630980818,NaN,NaN
55,0.000275152695283025,NaN,NaN,NaN,NaN,0.133973951924033,NaN
60,NaN,0.000565329980563423,0.0172011296194169,NaN,NaN,NaN,0.00454492530346742
65,NaN,NaN,NaN,0.048574155205699,NaN,NaN,NaN
70,0.000533813138924375,NaN,NaN,NaN,0.0624951014948333,-0.00714509978421502,NaN
75,NaN,0.00085614272219992,0.42214460594318,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,0.0484595332700469,NaN,NaN,-0.00135173386249901
85,0.000953001717380911,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,0.0442704084415531,0.0359673958286951,NaN
95,NaN,0.00167573194875162,0.645209540988145,NaN,NaN,NaN,NaN
100,0.000984006149856744,0.00189745951503277,0.6830985862335,0.232410092167967,0.0243378409294472,0.060732756044757,-0.00198117170575339
150,NaN,0.0022721410061642,0.766681638228181,NaN,NaN,0.185473665234769,0.00758437608097326
200,NaN,NaN,0.773546755826653,NaN,NaN,0.137100537307196,NaN
250,NaN,NaN,0.707221102903207,NaN,NaN,0.144015182024224,NaN
