t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.00064033489408098,-0.000154766329231395,-8.32647611593648,-10.8817954983603,0.0498330649649351
2.5,NaN,NaN,6.17855204185926,NaN,NaN
3,NaN,NaN,NaN,3.04078498508574,NaN
4.5,NaN,0.0315773826195246,-3.09471598864009,NaN,-0.0119842349460415
5,0.047461326129359,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,-6.9401385933303,NaN
7,NaN,NaN,24.8104257541003,NaN,NaN
9,NaN,0.0581674944911374,NaN,6.21911126461974,-0.255537320420316
9.5,NaN,NaN,121.42809842538,NaN,NaN
10,0.0407998228045375,NaN,156.774107325643,14.2550670867127,NaN
15,0.00102192822494133,0.000452940091840197,351.855135532845,151.198488901659,2.8763990303257
20,0.000108890554661772,0.000106342526791724,236.052222961763,252.810451362113,8.32534115307031
25,0.000154680113708414,0.000513002159807502,98.2785901297658,218.612070490685,10.3630235044377
30,NaN,0.000524802960465561,43.3854286314158,134.041528337726,8.47679696517119
35,-0.00123265714365618,0.000439500105372952,15.4692768309921,61.0867864234304,NaN
40,NaN,NaN,7.93961865891965,25.5120939614489,3.02759014028343
45,0.00102154642181163,-0.00157812202933348,NaN,NaN,NaN
50,NaN,NaN,-4.58828779502937,0.644175018377081,0.508436284551143
55,0.000336025521270135,-0.000757964914292523,NaN,NaN,NaN
60,NaN,NaN,NaN,-2.16286244164843,0.447070818794647
65,0.00133801839611442,0.000166556921817238,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,0.00239386804640437
80,-0.000658626143245161,-0.000540270402950486,NaN,NaN,NaN
