t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.000322969881573223,0.000751220038401751,0.37298006190685,0.920231657741596,-0.0168523885632887
8,NaN,NaN,1.51414980159967,NaN,NaN
10,0.0140873805290142,0.0187049277370783,NaN,-0.410090865790064,NaN
15,NaN,NaN,40.5000912951752,NaN,NaN
20,NaN,NaN,NaN,31.6064859937927,0.81619705605634
25,-1.66248371538636e-05,-7.7008961007101e-05,24.6101013231805,NaN,NaN
30,NaN,NaN,NaN,27.413960305759,NaN
35,NaN,NaN,3.49084878961716,NaN,NaN
40,-9.08422472707499e-05,-5.76175020679628e-05,NaN,NaN,0.638895353120032
45,NaN,NaN,NaN,3.65947263999028,NaN
50,0.000163526182779859,NaN,0.409275445123553,NaN,NaN
55,NaN,-0.00026329886917702,NaN,NaN,NaN
60,NaN,NaN,0.864475673480047,1.1432185845766,NaN
65,NaN,NaN,NaN,NaN,0.0121894284294509
70,-3.00525757693248e-05,6.24188457523393e-06,NaN,NaN,NaN
75,NaN,NaN,NaN,-0.406697467073268,NaN
80,NaN,NaN,-0.234571970828534,NaN,NaN
85,NaN,NaN,NaN,NaN,5.94455643465279e-06
90,-0.00013935164367097,7.3438958304642e-05,NaN,NaN,NaN
95,NaN,NaN,NaN,0.154413958536349,NaN
100,0.000234591285789336,7.94578649018054e-05,NaN,NaN,0.00232079145670812
150,0.000359142444340594,7.51083728137393e-05,NaN,NaN,0.0127005347911917
200,NaN,NaN,NaN,NaN,-0.00304394945860475
250,NaN,NaN,NaN,NaN,-0.010191260362921
300,NaN,NaN,NaN,NaN,-0.0156445644444894
350,NaN,NaN,NaN,NaN,-0.0108362550271714
400,NaN,NaN,NaN,NaN,-0.0134693463704037
