t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,-0.000255854358886307,0.00062974404795344,-2.06067705370674,-1.24232537067136,0.0471994581716514
4.5,NaN,NaN,5.34907006611838,NaN,NaN
7.5,NaN,NaN,NaN,0.984587653414012,NaN
8.5,NaN,NaN,NaN,NaN,0.0351771709921602
9,NaN,NaN,16.654489837959,NaN,NaN
9.5,0.0260910325351249,NaN,NaN,NaN,NaN
10,NaN,0.035076538524078,NaN,NaN,NaN
15,NaN,NaN,139.89849424443,42.8106764317573,NaN
20,0.000274955968013728,NaN,115.112534725371,NaN,3.00518136400041
25,NaN,2.05599445388073e-05,55.442071347456,100.123314378884,4.44700792881285
30,-0.000232840960300573,NaN,NaN,66.1389473273437,NaN
35,NaN,0.000159989060851792,6.15805426115994,NaN,2.62395384127806
40,9.68526345019704e-05,NaN,NaN,13.8335936980916,NaN
45,NaN,NaN,3.02282217523816,NaN,NaN
50,NaN,-0.000151323925604167,NaN,0.981748804916751,0.334246433668434
55,0.000356286305796157,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,0.0795076443570096
65,NaN,NaN,NaN,0.212883612162597,NaN
70,0.00157231059782978,0.00159210534289627,NaN,NaN,NaN
75,NaN,NaN,NaN,-2.79762745292766,-0.0721136217705169
90,0.00408539453041874,0.00618686238674221,NaN,1.54553495893291,NaN
95,NaN,NaN,NaN,NaN,0.0794787149113996
100,0.00284493102318451,0.0048755766966079,NaN,2.14733825283129,0.070907573050071
150,NaN,-0.000215659239560459,NaN,-2.14923779404397,-0.0632875609950801
200,NaN,NaN,NaN,-0.438075802938354,NaN
