t,input_ruxolitinib,pJAK1_pgp130_Obs
16,0,0.00243345016943155
16,10,0.00375420860150026
16,50,0.0129508029520156
16,50,0.00496943214225849
16,50,0.00572460361484952
16,50,0.0168601492063531
16,100,0.0158844596618836
16,200,0.00191711414739775
16,200,0.0134052082422892
16,400,0.0088143730662752
16,500,0.00839416895369499
16,600,0.0074983748393438
16,800,0.00660465668028959
16,800,0.0116978218866788
16,800,0.000861948008071502
16,800,0.00991062937073076
16,1000,0.00682006536054821
16,1000,0.00616088303200168
16,2000,0.00684141529947796
16,5000,0.00651070756869299
