t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.000462758499670795,-0.00314754916751536,0.44247294217177,2.0950475775528,-0.0244807833359582
10,NaN,NaN,NaN,-10.6038430071064,-0.222462013751639
15,0.0431404045653009,0.0738826882641526,0.361337790175052,NaN,NaN
20,NaN,NaN,NaN,3.46282742404454,-0.0898732956928009
25,NaN,NaN,3.82210800668558,NaN,NaN
30,0.0364473741851941,0.075764865170602,NaN,-2.2699031015223,0.415937174830874
40,NaN,NaN,843.499992859981,NaN,NaN
45,NaN,-0.000345956764473477,NaN,652.938815338728,22.3544350378078
50,-0.00127714449882898,NaN,NaN,NaN,NaN
55,NaN,NaN,78.2302116618905,284.549094762743,NaN
60,NaN,NaN,NaN,NaN,12.1081368083913
65,NaN,0.00117882295684738,NaN,NaN,NaN
70,1.89223312631998e-05,NaN,-1.99109564873858,22.7360785306942,NaN
75,NaN,NaN,NaN,NaN,0.929650469364115
90,NaN,-0.00107712849585347,-9.34134015225175,5.69644133103543,NaN
95,0.000559281708911967,NaN,NaN,NaN,0.197521630066578
100,0.00173574952535951,0.00179582995208575,8.77971748957951,-1.03597840286248,-0.252295578755022
150,0.0028821916747832,0.000558590686523605,-2.34004042088285,-8.43421697956924,0.343721987684195
200,NaN,NaN,-7.22388426930855,NaN,NaN
250,NaN,NaN,3.66115976866198,NaN,NaN
