t,input_il6,STAT3_Obs
94,0,27.0746622058154
94,0,28.5635072465601
94,0,29.5247235735293
94,0,29.9862202894716
94,0,31.2568703224482
94,0,32.7662650143565
94,0.0005,31.0326454502772
94,0.0005,31.5663012975857
94,0.005,28.4515490591412
94,0.005,29.1704558164751
94,0.005,29.8780910732997
94,0.005,30.3768293496608
94,0.005,30.9607539931366
94,0.005,33.8284484093907
94,0.05,27.6708383944882
94,0.05,28.1324819336467
94,0.05,28.7047511091831
94,0.05,29.4612355788345
94,0.05,30.6061148355523
94,0.05,30.6732599115879
94,0.05,31.3643040346891
94,0.05,31.6916982740803
94,0.1,27.2414143762543
94,0.1,28.5390798810085
94,0.1,28.8524614427464
94,0.1,29.3997533461267
94,0.1,29.6754481137696
94,0.1,29.9150372750559
94,0.1,30.0864861227136
94,0.1,31.2319444021708
94,0.5,27.6891483136951
94,0.5,29.8519546124922
94,1,26.6664508419101
94,1,26.9659279891556
94,1,27.1264069630059
94,1,29.2096889602041
94,1,29.6281629081688
94,1,30.1135636177596
94,1,30.5508539462387
94,1,34.9478996547504
94,2.5,25.452132528897
94,2.5,28.9892980469986
94,2.5,29.2337184746746
94,2.5,29.460966438577
94,2.5,29.6429748035882
94,2.5,30.1969371402952
94,2.5,31.5881101483207
94,2.5,31.6823448114212
94,5,28.3893156105513
94,5,29.6181966228439
94,5,30.0958177187369
94,5,30.6450055993163
94,10,24.8825467057774
94,10,26.3667887067344
94,10,27.2770083509019
94,10,27.5931691198204
94,10,29.2651544903876
94,10,30.4202420463771
94,25,26.3553626872922
94,25,33.2657109233358
94,50,24.4513993815842
94,50,26.9420094626461
94,50,27.6523778520386
94,50,28.5697125354404
94,50,29.0385682121722
94,50,32.7789708165447
94,100,27.3335732570844
94,100,27.4694305878387
94,100,28.0988404256127
94,100,28.4168609281372
94,100,29.9454477783731
94,100,30.6154405041804
94,200,25.4630856728282
94,200,29.6681458779058
94,200,30.5762954787729
94,200,30.9194164563066
94,500,26.0106210311135
94,500,26.4846675906158
94,500,27.749524201816
94,500,29.6752449302911
