t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,0.000337383336956663,0.000612596856116201,2.34260237844906,2.33248283531714,-0.346271304435563
3,NaN,NaN,-0.469592987699864,NaN,NaN
3.5,NaN,NaN,NaN,2.23249484187006,0.104160593456157
5.5,NaN,NaN,8.90664091253199,NaN,NaN
6.5,NaN,NaN,NaN,-5.47387470373563,NaN
7,NaN,NaN,NaN,NaN,0.165939556268862
8.5,NaN,NaN,74.9967722521181,NaN,NaN
10,NaN,NaN,158.797887564442,16.9229688400529,-0.11232313546695
15,5.98912047037602e-05,7.96618384233273e-05,344.943910517802,148.564213557347,2.89294467099395
20,NaN,NaN,232.408090380857,257.12860396877,8.34975136881659
25,NaN,1.61130915939713e-06,97.054648053438,221.572936430616,10.7794317205073
30,1.55297222083598e-06,NaN,35.2870702786778,127.884088729297,8.56089146991954
35,NaN,NaN,8.36729889817652,68.2875443206837,5.04226985457241
40,NaN,NaN,-1.61736524781576,NaN,2.45080504937053
45,-3.50798109841416e-06,1.21840532617547e-05,NaN,18.288843441129,NaN
50,NaN,NaN,7.94921254173022,1.87079984215406,0.28414867123502
55,NaN,NaN,4.49756940073042,NaN,NaN
60,9.51557537386968e-06,7.67883696875989e-07,NaN,NaN,0.214096316458294
65,NaN,NaN,NaN,3.57375187412105,NaN
70,NaN,NaN,NaN,NaN,-0.102716058277278
80,2.40424348764329e-05,5.36643786572692e-05,NaN,NaN,NaN
100,5.59902499098726e-05,0.000115858526520058,NaN,NaN,NaN
150,0.000141464750499523,0.000247882774614579,NaN,NaN,NaN
200,0.000190052633731788,NaN,NaN,NaN,NaN
