t,pJAK1_gp130_Obs,pJAK1_pgp130_Obs,nSOCS3RNA3_Obs,nSOCS3RNA5_Obs,SOCS3RNA_Obs
0,-0.000434582013479172,0.00128980857544898,0.00572280232752777,0.00559292904075376,0.000261702244419505
4,NaN,NaN,0.00476553697289829,NaN,NaN
6,NaN,NaN,NaN,0.00512328168049845,NaN
6.5,NaN,NaN,NaN,NaN,0.000266141585139598
8,NaN,NaN,0.00311346074532058,NaN,NaN
10,NaN,NaN,NaN,0.00427289080926578,NaN
15,NaN,NaN,0.000723032192066675,NaN,0.00017938204702727
20,0.0403342290663884,NaN,NaN,0.00146933221248939,0.000112478521406148
25,NaN,0.0795550363176136,0.000176996921374149,0.000622854104186589,NaN
30,NaN,NaN,-8.82046705181826e-05,NaN,3.93303391245877e-05
35,NaN,NaN,-4.83816273119695e-05,0.000186879967301917,NaN
40,NaN,NaN,NaN,NaN,6.23189983529387e-06
45,0.034403888380942,0.0718870846999436,5.16264175373035e-05,-0.000149113878111335,NaN
50,NaN,NaN,NaN,NaN,-4.44516467688826e-06
55,NaN,NaN,-2.69631533999038e-07,0.000155835754368702,NaN
60,NaN,NaN,NaN,NaN,-3.02684359057594e-06
65,NaN,NaN,-6.66929913572169e-05,NaN,NaN
70,0.0315583025097415,NaN,NaN,-8.45269000810101e-06,NaN
75,NaN,0.0570097662418194,NaN,NaN,4.87893423802184e-06
85,NaN,NaN,NaN,0.000358915645790624,NaN
90,NaN,NaN,NaN,NaN,-1.45770656461045e-06
95,0.0241038822814548,NaN,NaN,NaN,NaN
100,NaN,0.0534132164207477,NaN,NaN,-3.64344319806351e-06
150,0.0171546326343404,0.0435394973640486,NaN,NaN,NaN
200,0.0143933364493346,0.0340006162178477,NaN,NaN,NaN
250,0.0104528016724221,0.019101680071949,NaN,NaN,NaN
300,0.00688730647311708,0.0148135744215068,NaN,NaN,NaN
350,NaN,0.00863291495377709,NaN,NaN,NaN
400,0.00481831179403523,NaN,NaN,NaN,NaN
450,NaN,0.0103646607720777,NaN,NaN,NaN
