t,nSTAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA3_Obs
0,0,1.05446216149576e-16,1.88908297225891e-15
15,3.3158317586389,NaN,NaN
20,NaN,8.37882736498069e-15,2.79067736294187e-15
30,5.26070810188394,NaN,NaN
40,NaN,1.72956002223127e-14,9.51815834185625e-15
50,5.98406242901062,NaN,NaN
60,NaN,1.56082099490852e-14,6.29809753712198e-15
70,5.23692279095114,NaN,NaN
80,NaN,NaN,1.01240517075234e-14
85,NaN,1.63021560526114e-14,NaN
90,5.74276861611649,NaN,NaN
100,4.68474488699658,1.16406955360259e-14,9.38996864038586e-15
150,3.19172709292883,1.66138643834954e-14,6.06356948647356e-15
200,4.00993957943864,1.21927230882082e-14,4.86665514533931e-15
250,3.62816039130937,1.2147190004649e-14,5.09155416367315e-15
300,3.98490743197106,1.17821101737381e-14,4.86994940327316e-15
350,NaN,NaN,4.64756754483878e-15
400,NaN,8.34245678883729e-15,NaN
