t,PTP_Obs,nSTAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA3_Obs
0,14.0711408259039,0,0.000197123657200839,0.022765843141541
5,16.5906695258399,NaN,NaN,NaN
10,18.8738291237936,NaN,NaN,NaN
15,18.4421693260318,0.00519548693064158,NaN,0.0295964261314666
20,NaN,NaN,0.000501115098216731,NaN
25,17.0839941333205,NaN,NaN,NaN
30,12.6304184608239,0.0554458176926951,NaN,0.0233693802097165
35,NaN,NaN,0.00174176315421831,NaN
40,NaN,0.0710810815607073,NaN,NaN
45,16.6406259885202,NaN,NaN,0.0315088672215564
55,15.1643689279869,NaN,NaN,NaN
60,NaN,0.0931572321629215,0.00289394790849857,NaN
65,NaN,NaN,NaN,0.0252298806226212
75,NaN,0.0952696564986566,NaN,NaN
80,NaN,NaN,0.00257270656154688,NaN
85,NaN,NaN,NaN,0.0276199072884936
95,NaN,0.0617861522832059,NaN,NaN
100,NaN,0.0711526610138526,0.00247564522543686,0.0237616290163952
150,NaN,0.0355423266513699,0.00141455092778442,0.027005155894511
200,NaN,0.0162725904198688,0.00108342931257291,0.0264479613453235
250,NaN,0.017488233363146,0.000690099808367376,NaN
