t,nSTAT5_Obs,SOCS3nRNA3_Obs
0,0,2.36645797027323e-15
20,3.97188100202926,2.66697991972095e-15
35,NaN,5.57853960882769e-15
40,5.59734787174083,NaN
55,NaN,7.37437354252568e-15
65,5.0879453021998,NaN
75,NaN,6.91396058379142e-15
85,4.98645756142894,NaN
100,5.12530134047892,7.34514295829169e-15
150,4.10432576389956,6.13901255691718e-15
200,4.27608150791999,6.16031370537265e-15
250,2.36168594361848,5.09605051874793e-15
300,3.18745344343523,4.30992199895668e-15
350,NaN,4.93553872301421e-15
400,4.61085441000746,NaN
