t,PTP_Obs,nSTAT5_Obs,SOCS3nRNA3_Obs
0,1.2946496227019,0,0.00116154131555664
10,NaN,NaN,0.0354825185177832
15,0.985814304940874,NaN,NaN
20,NaN,6.9119808248906,0.0154674018903634
35,1.13788002150098,NaN,0.00566222887899247
40,NaN,6.15942673448914,NaN
50,1.29172777360249,NaN,0.00664773920245937
60,NaN,6.45839301894484,NaN
65,NaN,NaN,0.00477362505957821
70,1.18057282445005,NaN,NaN
80,NaN,5.78647441714637,0.00377772133372213
95,1.19723722150077,NaN,NaN
100,1.44364201031002,6.06182217466128,0.00328643042658178
150,1.03879412770727,3.61846768430585,0.00297198194185061
200,1.25534068266414,5.27838586797998,NaN
250,1.17258480819475,3.72109631692875,NaN
300,1.09455784041046,3.87984949206978,NaN
350,NaN,4.87770400886988,NaN
