t,pEpoRpJAK2_Obs,CISHnRNA2_Obs
0,0.00101750255211739,0.000207130684920239
40,0.678660335427057,NaN
70,NaN,0.00671191003325547
80,0.595414243626577,NaN
100,0.51717286460589,NaN
150,0.377210285632953,0.0072890332789971
200,0.346824287014665,0.00852022596873099
250,0.31961943793654,NaN
300,NaN,0.00540424562227852
350,0.343662307071996,NaN
400,0.234569925160555,0.0057323272370926
500,0.279581651355997,0.00512562762566181
600,0.295271982155689,0.00475772551816072
700,0.300068637068378,NaN
750,NaN,0.00533764078960242
950,NaN,0.0058873833379874
1000,NaN,0.00526844894270758
