t,PTP_Obs,nSTAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA3_Obs
0,17.8515734555848,0,0.00140912013391957,0.0268849800334074
4.5,15.7343121484516,NaN,NaN,NaN
9.5,15.4892018890724,NaN,NaN,NaN
10,NaN,NaN,0.0172102806971458,0.0232288702587697
15,19.7269752649633,1.86044744843664,NaN,NaN
20,16.8888960889136,NaN,NaN,NaN
25,13.4339696180925,NaN,0.106101093191078,0.0403195115175019
30,NaN,5.2438360678009,NaN,NaN
35,11.4028978593873,NaN,0.151324324234351,NaN
40,17.7132690671248,4.94749059151775,NaN,0.0660598904886287
50,16.7821721423782,NaN,0.14866532773683,0.082570212007423
60,12.6839316141864,4.35306127937003,NaN,NaN
65,NaN,NaN,0.186954242534086,NaN
70,NaN,NaN,NaN,0.0743990115110037
75,15.5225980067825,5.08454013498936,NaN,NaN
80,NaN,NaN,0.200393021996589,NaN
85,14.8892742428438,NaN,NaN,NaN
90,NaN,NaN,NaN,0.0579255315890719
95,NaN,4.29346058421998,NaN,NaN
100,NaN,2.7477527220899,0.0834410827804668,0.0553601365975535
150,NaN,2.32985244059886,0.0698359885808907,0.0404346399795463
200,NaN,2.57348623331149,0.0738733259365043,0.0645500369109549
250,NaN,2.11731799347452,NaN,NaN
300,NaN,2.13729100736016,NaN,NaN
