t,epo_level,nSTAT5_Obs,SOCS3nRNA3_Obs
17,0,0,0.00115746252897881
17,0,0,0.00136287078319608
17,4.2857e-08,0.089721696044441,0.00133379718048256
17,4.2857e-08,0.108128791873942,0.0012892098177448
17,1.4286e-07,0.718809399903144,0.0010211760682602
17,1.4286e-07,0.783309171653589,0.00137414329701053
17,4.2857e-07,1.87212083113622,0.003522000092162
17,4.2857e-07,2.91093965773853,0.00385986615947314
17,1.4286e-06,4.612489737783,0.0279608680240648
17,1.4286e-06,5.95376773709759,0.0310816282089261
17,4.2857e-06,6.05771645757681,0.0251383578999445
17,4.2857e-06,8.19476396500707,0.0213113408384436
17,1.4286e-05,5.36753554586545,0.0210003322837198
17,1.4286e-05,6.76385563990043,0.023151223746812
17,4.2857e-05,6.54601336793218,0.015695658755485
17,4.2857e-05,6.63643259627052,0.0217739723306627
