t,epo_level,CISHnRNA4_Obs
30,2.5e-09,0.0017873843382204
30,2.5e-09,0.00212599901886183
30,2.5e-09,0.00212766157051825
30,2.5e-08,0.0310767657025757
30,2.5e-08,0.0314711873814049
30,2.5e-08,0.0342140397982509
30,1.25e-07,0.0726655439372061
30,1.25e-07,0.0819337370717965
30,1.25e-07,0.0842565614034836
30,2.5e-07,0.0607985942527403
30,2.5e-07,0.0807719280511011
30,2.5e-07,0.0952546417763681
30,1.25e-06,0.0859430607753033
30,1.25e-06,0.0933286935440884
30,1.25e-06,0.0935740066299963
30,2.5e-06,0.0724073905797615
30,2.5e-06,0.0814579168511388
30,2.5e-06,0.0833036121779158
