t,nSTAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA3_Obs
0,0,0.000209274972711385,0.0249716628359478
7,0.487694723501059,NaN,NaN
15,1.93013649358222,0.0337951046469159,0.0344659684812103
20,2.50623329371139,NaN,NaN
25,NaN,0.0944795946259507,0.0334422754813688
30,3.77836121314452,NaN,NaN
40,5.94062055871089,0.15986098270427,0.0536612845065492
50,5.62312578527979,NaN,NaN
55,NaN,0.123458555110882,0.0820625583098736
60,4.03218299135702,NaN,NaN
70,NaN,0.105356261778244,0.0564673283672852
75,3.52661475387693,NaN,NaN
90,2.7321525217338,0.0939256961016041,0.0465748592667464
100,2.7022748093669,0.050838831944807,0.0521218729947786
150,1.19936007640832,0.0395814959488237,0.0307218754275252
200,NaN,0.0313722024178414,0.0230406049708933
