t,nSTAT5_Obs,SOCS3nRNA3_Obs
0,0,0.0236112973089858
8,0.623133443308058,NaN
10,NaN,0.0269552685851231
15,2.30643064851094,NaN
25,3.90980947498693,0.0273313558591796
35,5.82081009864167,0.0354567623764065
45,4.38911604736413,NaN
50,NaN,0.0492117641128927
55,4.11726766521065,NaN
65,4.18175813878911,0.0480982863521914
80,2.5570855129096,NaN
85,NaN,0.0433234279997203
95,2.02900871267089,NaN
100,2.40372453877723,0.0456916703280289
150,1.07489678158459,0.0299570673220549
200,0.892688312709185,0.0247916727909321
