t,pEpoRpJAK2_Obs,CISHnRNA2_Obs
0,0.00113601110344923,0.000194464893594719
45,0.766461040390229,NaN
80,NaN,0.00700640787425499
95,0.510198224166673,NaN
150,0.542436486479516,0.00816864989661077
200,0.361818701771989,NaN
250,0.317701703159746,0.00487735873025273
350,0.415827333133534,0.00650307173374112
400,0.381074249773997,NaN
450,NaN,0.0065116760142619
500,0.385697635726914,NaN
600,0.320040280554301,0.00688363954816752
750,0.283565047363935,0.00474978249021279
950,NaN,0.00553815841758273
1000,NaN,0.00376476349718731
