t,pEpoRpJAK2_Obs,PTP_Obs,nSTAT5_Obs,CISHnRNA2_Obs,SOCS3nRNA3_Obs,SOCS3_Obs
0,0.000787780298724176,17.7128384241616,0,0.00019786965277891,0.0294794193054862,2.43659397686309
9,NaN,16.5627875257221,NaN,NaN,NaN,NaN
15,0.562779231340634,NaN,NaN,NaN,NaN,NaN
20,NaN,15.502959231295,NaN,NaN,0.0328425362729639,3.22267575490594
25,NaN,NaN,4.32001732773466,NaN,NaN,NaN
30,NaN,13.7223191603103,NaN,NaN,NaN,NaN
35,0.330407358365953,NaN,NaN,0.171791301802474,NaN,NaN
40,NaN,14.3775065766045,NaN,NaN,NaN,4.01603081503863
45,NaN,NaN,NaN,NaN,0.064796688956514,NaN
50,NaN,18.9750486864795,NaN,NaN,NaN,NaN
55,0.181075520783999,NaN,4.90059533698003,NaN,NaN,NaN
65,NaN,19.5124772779029,NaN,NaN,NaN,7.23992998846658
70,NaN,NaN,NaN,0.139170817540824,0.0913959990451573,NaN
75,0.136367027021382,NaN,NaN,NaN,NaN,NaN
80,NaN,23.4159495510454,3.52268150253058,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,7.6057435381674
95,NaN,NaN,NaN,NaN,0.088850772481549,NaN
100,0.134722863518742,12.9196978368732,3.09172316679049,0.0934108092557584,NaN,7.01932880976853
150,0.115404391975675,18.3120380964126,2.29679806102415,0.0817761967740851,0.0487193526161963,5.09461827114804
200,0.138293678343556,NaN,2.77570799702935,0.0713379943623104,0.0438648377523302,3.64773537209555
250,0.167164626196043,NaN,2.65965473469946,0.0864963238235437,0.0363983033753449,3.33387743682758
300,0.115834133020419,NaN,2.500901333954,0.0739006917083964,NaN,NaN
350,NaN,NaN,1.74398878991563,NaN,NaN,NaN
400,NaN,NaN,NaN,0.0688452973106771,NaN,NaN
450,NaN,NaN,2.00215912847928,NaN,NaN,NaN
500,NaN,NaN,NaN,0.0705848051726023,NaN,NaN
