t,X_protein_Obs,Z_protein_Obs,GFP_Obs,X_mRNA_Obs,Z_mRNA_Obs,GFP_mRNA_Obs
0,-69.9468762846465,87.2331350306649,4.11763777268286,123.062081215747,286.773220022663,9.35565908603169e-06
5.5,NaN,NaN,NaN,NaN,NaN,-6.41747110040742e-08
10,NaN,NaN,NaN,NaN,NaN,-5.22498125617652e-08
15,4112.15260577056,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,1.5877457221266,-0.61495401893108,-1.51796522645604e-07
25,NaN,NaN,NaN,NaN,NaN,-4.56084185951679e-08
30,NaN,4591.55272903124,NaN,NaN,NaN,NaN
35,1666.67056088738,NaN,NaN,NaN,NaN,-1.41637746665876e-07
40,NaN,NaN,NaN,NaN,1.26445199522678,1.17286384200084e-07
45,NaN,NaN,NaN,0.271670393547055,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,6.74828377661852e-09
55,886.83895534522,NaN,19.3351543418035,NaN,NaN,NaN
60,NaN,1285.23775421222,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,-0.671272185296186,-3.41567366346391,-1.5323292208166e-07
75,863.251554983317,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,2.67871336388057,-2.13139113225739,NaN
95,1970.48752741553,256.234762628823,NaN,NaN,NaN,NaN
100,2450.880641677,NaN,35.6871996349715,3.85507003804176,2.75345087832319,NaN
150,905.254402559803,2402.96694137395,NaN,0.546172329843825,0.705249704673829,NaN
200,595.644495164794,795.883488821797,86.2566379387433,0.4049013823092,-0.930041386710827,NaN
250,1923.5373916217,1013.63458438292,86.5170373625014,1.12315384075456,0.692450826898686,NaN
300,666.2177713247,NaN,91.3183142550449,0.257647159445673,-0.843853230351442,NaN
350,NaN,663.072774558233,NaN,0.517472618477186,2.17030944911431,NaN
400,NaN,1591.02689658203,95.7852954080122,NaN,NaN,NaN
500,NaN,NaN,84.2245969201201,NaN,NaN,NaN
600,NaN,NaN,85.1468882587713,NaN,NaN,NaN
700,NaN,NaN,90.3075034901204,NaN,NaN,NaN
850,NaN,NaN,102.231457762846,NaN,NaN,NaN
1000,NaN,NaN,87.0578820906463,NaN,NaN,NaN
1500,NaN,NaN,79.150070608876,NaN,NaN,NaN
