t,RII_C_2_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,AC_Fsk_Obs,RIIp_Sp8_Br_cAMPS_C_2_Obs,RIIp_2_Obs,RIIp_Sp8_Br_cAMPS_2_Obs
0,0.479742877212917,0.207971588488528,0.00330781535142103,0.114545038264562,0.330010371067369,0.00153583412991882,0.121955530219045,0.00025901905377068
3.5,NaN,NaN,NaN,NaN,0.133533949580799,NaN,NaN,NaN
4.5,NaN,0.0224984703147268,NaN,NaN,NaN,NaN,NaN,NaN
5.5,0.628510108739619,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,0.00048387507420544,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,0.146879213886755,0.084530557194953,NaN
7.5,NaN,NaN,NaN,NaN,0.100096315026457,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00267313468069001
8.5,NaN,NaN,NaN,0.0911682543306865,NaN,NaN,NaN,NaN
9.5,NaN,0.0145907263611013,NaN,NaN,NaN,NaN,NaN,NaN
10,0.517989732475435,NaN,NaN,NaN,-0.297268353523153,NaN,NaN,NaN
15,NaN,0.0182273382533944,0.000235206049232427,0.0677881848337839,0.34180111957827,0.24760497168018,0.173339068425006,0.00208263789443694
20,0.376417584351846,0.00968179691459667,0.000167248233368282,NaN,0.367268789867004,0.120156314479687,NaN,NaN
25,0.5914202502766,0.00700010440094611,NaN,0.0849577810687331,NaN,NaN,0.137551964384795,0.00325216803208755
30,NaN,NaN,0.0002088479308793,NaN,-0.266222872893728,0.109469564530552,NaN,NaN
35,0.40640040224174,0.0210579967820124,NaN,NaN,NaN,NaN,0.1491199959918,0.00246065443064625
40,0.466767422650473,NaN,2.46611439573803e-05,0.0847722569823443,NaN,0.185400709947425,NaN,NaN
45,NaN,0.012848820467747,NaN,NaN,NaN,NaN,0.187426474512541,NaN
50,NaN,NaN,0.000341063757250125,NaN,NaN,0.217641600279958,NaN,0.00269370085968258
55,0.239976638406907,NaN,NaN,0.0943371086801683,NaN,NaN,0.20386844542225,NaN
65,NaN,NaN,NaN,NaN,NaN,0.168881854742732,NaN,0.00107229030939329
70,NaN,NaN,NaN,0.0284568826513062,NaN,NaN,NaN,NaN
