t,RII_C_2_Obs,RIIp_C_2_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs
0,0.492615794963083,0.207208727610523,-0.0616662614692237,0.132660085404418
2,NaN,NaN,0.200607085614349,0.116795290193508
2.5,0.42523656834941,0.00505545658152444,NaN,NaN
4.5,NaN,NaN,0.244293693662063,0.10884205399877
5,0.237181368687475,0.0115227265229546,NaN,NaN
7,NaN,NaN,0.206952799271921,0.0813938474782286
7.5,NaN,0.00917168688018334,NaN,NaN
8,0.456024340507254,NaN,NaN,NaN
9.5,NaN,NaN,0.157738053824215,0.0745600180518664
10,0.54284115257431,0.0243643349975985,NaN,NaN
15,0.492686258722458,0.00998774915295691,0.120821748885499,0.064219197803336
20,0.373287150306764,0.0181596602903422,0.178333447864644,0.110831276599378
25,0.455928054710416,-0.000667433392855372,0.125595505873207,0.0617738453164809
30,0.495565798931504,NaN,0.191219963545629,0.104805499996752
40,0.596736360715023,NaN,0.216525515236701,0.0915891198562145
