t,pAC_Obs,RIIp_cAMP_C_2_Obs,RII_2_Obs,AC_Fsk_Obs
0,0.22195522990566,0.0178766284173602,0.0987926318414302,-0.121421349012671
3,NaN,NaN,NaN,0.644967949840846
6,NaN,NaN,NaN,0.552848259282792
6.5,NaN,0.130524207503679,0.0790774766165879,NaN
10,NaN,NaN,NaN,0.57247862401665
15,-0.375760559788561,0.130004250540546,0.0734816533381984,0.555456236360969
20,NaN,0.145229547147669,0.0672518993194077,0.385440586333389
25,NaN,NaN,NaN,0.735556569927985
30,NaN,0.205779218853576,0.0787004423107411,NaN
35,-0.197283283409782,NaN,NaN,NaN
40,NaN,0.0882290187825363,0.0551600427739312,NaN
50,0.17615433536885,NaN,0.0784508759277071,NaN
55,NaN,0.119949600746295,NaN,NaN
60,NaN,NaN,0.0606238478457502,NaN
70,-0.0962409044391749,NaN,NaN,NaN
95,0.0424653507782384,NaN,NaN,NaN
100,0.0582558809605935,NaN,NaN,NaN
150,-0.184186377054715,NaN,NaN,NaN
200,0.156022378391527,NaN,NaN,NaN
250,-0.0722758442107987,NaN,NaN,NaN
300,-0.269240227734621,NaN,NaN,NaN
