t,RII_C_2_Obs,RIIp_C_2_Obs,RII_2_Obs,AC_Fsk_Obs
0,0.703206599753386,0.199127227583701,0.112114606776815,0.0478145701076731
3.5,NaN,NaN,NaN,0.272457381386448
7,NaN,NaN,NaN,0.386724658670681
8,0.694634525571298,NaN,NaN,NaN
9.5,NaN,NaN,0.0973388170747057,NaN
10,NaN,NaN,NaN,-0.206012142638362
15,0.482124664722367,0.0193335516214309,NaN,0.223115755957389
20,NaN,NaN,0.109065286792151,-0.010707222606842
25,0.685989582722417,NaN,NaN,0.517601814378927
30,NaN,0.00771137298892161,0.110638588144833,NaN
35,0.651212317072159,NaN,NaN,-0.0569054338095734
45,0.424617087107537,NaN,0.0411663398885117,NaN
50,NaN,-0.00166308120686635,NaN,NaN
55,0.313596486702071,NaN,NaN,NaN
60,NaN,NaN,0.103822845146398,NaN
65,NaN,0.00865941521350915,NaN,NaN
70,0.538289871787922,NaN,NaN,NaN
75,NaN,NaN,0.0802212063303087,NaN
85,0.69911315589643,-0.000255728435590242,NaN,NaN
100,0.770448834482621,0.011215038328768,NaN,NaN
150,NaN,-0.000583742570777118,NaN,NaN
200,NaN,0.00157751665084349,NaN,NaN
250,NaN,0.00854504638415338,NaN,NaN
300,NaN,0.0065233724051451,NaN,NaN
